Assistance_PedestrianNotification_SPAWN->Assistance_PedestrianNotification_START,Assistance_PedestrianNotification_SPAWN->Assistance_PedestrianNotification_START
0.001542,0.001542
0.000000,0.000000
0.002157,0.002157
0.019695,0.019695
0.036250,0.036250
0.000000,0.000000
0.021797,0.021797
0.011011,0.011011
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.029455,0.029455
0.000000,0.000000
0.031930,0.031930
0.041368,0.041368
0.000000,0.000000
0.033018,0.033018
0.000000,0.000000
0.048160,0.048160
0.019580,0.019580
0.009275,0.009275
0.000000,0.000000
0.024169,0.024169
0.017999,0.017999
0.004997,0.004997
0.075508,0.075508
0.058746,0.058746
0.041759,0.041759
0.051599,0.051599
0.012077,0.012077
0.008823,0.008823
0.000000,0.000000
0.006532,0.006532
0.023461,0.023461
0.015683,0.015683
0.000000,0.000000
0.033991,0.033991
0.004171,0.004171
0.026684,0.026684
0.000000,0.000000
0.000000,0.000000
0.008245,0.008245
0.000000,0.000000
0.027654,0.027654
0.079323,0.079323
0.000000,0.000000
0.001527,0.001527
0.000000,0.000000
0.038811,0.038811
0.000000,0.000000
0.055973,0.055973
0.000000,0.000000
0.000000,0.000000
0.080544,0.080544
0.013796,0.013796
0.064384,0.064384
0.057077,0.057077
0.027148,0.027148
0.005053,0.005053
0.030142,0.030142
0.019339,0.019339
0.030105,0.030105
0.045661,0.045661
0.033975,0.033975
0.016123,0.016123
0.008506,0.008506
0.043086,0.043086
0.000000,0.000000
0.009251,0.009251
0.000000,0.000000
0.020201,0.020201
0.000000,0.000000
0.015491,0.015491
0.000000,0.000000
0.000000,0.000000
0.067480,0.067480
0.000000,0.000000
0.000000,0.000000
0.004400,0.004400
0.031854,0.031854
0.017810,0.017810
0.033630,0.033630
0.045828,0.045828
0.002931,0.002931
0.000000,0.000000
0.051786,0.051786
0.000000,0.000000
0.003730,0.003730
0.000000,0.000000
0.043530,0.043530
0.027302,0.027302
0.004180,0.004180
0.000000,0.000000
0.012273,0.012273
0.018456,0.018456
0.000000,0.000000
0.040547,0.040547
0.052663,0.052663
0.000000,0.000000
0.000000,0.000000
0.020183,0.020183
0.037946,0.037946
0.000000,0.000000
0.031962,0.031962
0.001392,0.001392
0.077234,0.077234
0.005044,0.005044
0.107448,0.107448
0.000000,0.000000
0.105380,0.105380
0.021412,0.021412
0.020407,0.020407
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.010910,0.010910
0.000000,0.000000
0.019072,0.019072
0.052623,0.052623
0.000000,0.000000
0.000000,0.000000
0.020791,0.020791
0.023822,0.023822
0.065457,0.065457
0.046477,0.046477
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.001852,0.001852
0.005480,0.005480
0.000000,0.000000
0.025450,0.025450
0.031825,0.031825
0.000000,0.000000
0.000000,0.000000
0.051139,0.051139
0.012591,0.012591
0.005693,0.005693
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.011772,0.011772
0.000000,0.000000
0.042379,0.042379
0.005236,0.005236
0.017164,0.017164
0.010550,0.010550
0.014791,0.014791
0.000000,0.000000
0.000000,0.000000
0.023547,0.023547
0.053963,0.053963
0.067018,0.067018
0.017161,0.017161
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.037374,0.037374
0.053256,0.053256
0.020776,0.020776
0.015287,0.015287
0.000379,0.000379
