Camera1_START->CollisionAlert_FINISH,Camera1_START->Camera1_FINISH,Camera1_FINISH->Perception_CameraPerception_START,Perception_CameraPerception_START->Perception_CameraPerception_FINISH,Perception_CameraPerception_FINISH->Perception_Fusion_START,Perception_Fusion_START->Perception_Fusion_FINISH,Perception_Fusion_FINISH->SemanticExtraction_ObjectDetection_START,SemanticExtraction_ObjectDetection_START->SemanticExtraction_ObjectDetection_FINISH,SemanticExtraction_ObjectDetection_FINISH->SemanticExtraction_Prediction_START,SemanticExtraction_Prediction_START->SemanticExtraction_Prediction_FINISH,SemanticExtraction_Prediction_FINISH->CollisionDetection_TimeToCollision_START,CollisionDetection_TimeToCollision_START->CollisionDetection_TimeToCollision_FINISH,CollisionDetection_TimeToCollision_FINISH->CollisionDetection_BrakingDecision_START,CollisionDetection_BrakingDecision_START->CollisionDetection_BrakingDecision_FINISH,CollisionDetection_BrakingDecision_FINISH->CollisionAlert_START,CollisionAlert_START->CollisionAlert_FINISH,Perception_CameraPerception_START,Perception_Fusion_START,SemanticExtraction_ObjectDetection_START,SemanticExtraction_Prediction_START,CollisionDetection_TimeToCollision_START,CollisionDetection_BrakingDecision_START,CollisionAlert_START
0.383700,0.005872,0.008148,0.011909,0.074429,0.024734,0.000000,0.053281,0.013283,0.010649,0.143085,0.026166,0.000000,0.008792,0.000000,0.003352,0,1,1,1,1,1,1
0.491067,0.003736,0.115008,0.007672,0.084629,0.026829,0.018965,0.045317,0.000000,0.010307,0.138079,0.030132,0.000000,0.008905,0.000000,0.001488,1,2,2,2,2,2,2
0.455036,0.004013,0.086703,0.010193,0.067631,0.019652,0.000000,0.052299,0.015806,0.010431,0.155076,0.024948,0.000000,0.006283,0.000000,0.002001,0,1,2,2,2,2,2
0.453459,0.003559,0.087380,0.009512,0.072715,0.032121,0.000000,0.057261,0.000000,0.010278,0.148963,0.025253,0.000000,0.004819,0.000000,0.001598,0,1,1,2,2,2,2
0.469168,0.001029,0.086203,0.010461,0.086741,0.027306,0.000000,0.049351,0.000000,0.009073,0.158499,0.031553,0.000000,0.005795,0.000000,0.003157,0,1,2,2,2,2,2
0.442798,0.003675,0.079027,0.011363,0.087916,0.021217,0.000000,0.036936,0.027652,0.009045,0.135177,0.025718,0.000000,0.002523,0.000000,0.002549,0,1,2,2,2,2,2
0.350160,0.005847,0.079520,0.014386,0.083903,0.026246,0.000000,0.058613,0.000000,0.009499,0.042129,0.022231,0.000000,0.004470,0.000000,0.003316,0,1,2,2,1,1,1
0.414229,0.004724,0.117523,0.008160,0.091101,0.027037,0.000000,0.060801,0.000000,0.010085,0.038070,0.035910,0.011522,0.005802,0.000000,0.003494,1,2,2,3,1,1,1
0.466016,0.007532,0.088337,0.011472,0.078186,0.024389,0.008395,0.040671,0.003864,0.011522,0.154213,0.031873,0.000000,0.004485,0.000000,0.001077,0,1,2,2,2,2,2
0.480470,0.003835,0.108337,0.011519,0.072725,0.018013,0.000000,0.059998,0.000000,0.011157,0.152702,0.033314,0.000000,0.005855,0.000000,0.003015,0,1,2,2,2,2,2
0.470818,0.005434,0.092139,0.013333,0.086711,0.024020,0.000000,0.048539,0.009727,0.009160,0.145905,0.030106,0.000000,0.004846,0.000000,0.000898,0,1,2,2,2,2,2
0.384188,0.003495,0.099716,0.009621,0.084599,0.022719,0.000000,0.053308,0.000000,0.011732,0.046144,0.035885,0.011285,0.003295,0.000000,0.002389,0,1,2,2,1,1,1
0.464989,0.005617,0.092833,0.012716,0.080504,0.029138,0.000000,0.042049,0.003486,0.011285,0.152382,0.029839,0.000000,0.004065,0.000000,0.001075,1,1,2,2,2,2,2
0.466657,0.005610,0.096782,0.010703,0.082193,0.028338,0.000000,0.053092,0.000000,0.008814,0.142443,0.029346,0.000000,0.007356,0.000000,0.001980,1,1,2,2,2,2,2
0.477634,0.005434,0.100340,0.010364,0.086286,0.034358,0.017155,0.050735,0.000000,0.010989,0.130057,0.028159,0.000000,0.002049,0.000000,0.001708,1,1,2,2,2,2,2
0.422283,0.005278,0.074793,0.014188,0.086327,0.023048,0.000000,0.049269,0.000000,0.010593,0.132730,0.022809,0.000000,0.001803,0.000000,0.001445,0,1,2,2,1,2,2
0.478616,0.006627,0.099369,0.010416,0.081628,0.024562,0.000000,0.061643,0.000000,0.010606,0.152274,0.027522,0.000000,0.002832,0.000000,0.001137,0,2,2,2,2,2,2
0.450982,0.004447,0.072779,0.012646,0.081722,0.027655,0.000000,0.053705,0.000000,0.009500,0.154338,0.027239,0.000000,0.004867,0.000000,0.002084,0,1,1,2,2,2,2
0.499275,0.004412,0.107969,0.009920,0.089237,0.028861,0.000000,0.069752,0.000000,0.011831,0.132569,0.035156,0.000000,0.007309,0.000000,0.002259,1,2,2,2,2,2,2
0.386441,0.001502,0.115497,0.006737,0.090351,0.023346,0.000000,0.049107,0.000000,0.009598,0.053030,0.033488,0.000000,0.002814,0.000000,0.000971,0,2,2,3,1,1,1
0.444805,0.004416,0.094652,0.008241,0.070191,0.029740,0.000000,0.057751,0.000000,0.008972,0.130018,0.030482,0.000000,0.007309,0.000000,0.003033,0,1,2,2,2,2,2
0.457541,0.005684,0.089575,0.010157,0.077303,0.022422,0.011874,0.052205,0.000000,0.009930,0.146407,0.028297,0.000000,0.003079,0.000000,0.000608,0,1,2,2,2,2,2
0.457216,0.008468,0.066500,0.011502,0.096519,0.016348,0.000000,0.067440,0.000000,0.009627,0.149317,0.024226,0.000000,0.006078,0.000000,0.001191,0,1,2,2,2,2,2
0.477659,0.002482,0.092019,0.010354,0.079086,0.028918,0.000000,0.053840,0.000000,0.008732,0.160048,0.027139,0.009005,0.004913,0.000000,0.001123,0,1,2,2,2,2,2
0.472170,0.005092,0.095304,0.013894,0.075131,0.022525,0.000000,0.052815,0.000727,0.009005,0.160636,0.027258,0.000000,0.007280,0.000000,0.002503,0,1,2,2,2,2,2
0.481109,0.006797,0.082390,0.011928,0.089005,0.029923,0.000000,0.067127,0.000000,0.008341,0.137733,0.037681,0.000000,0.008541,0.000000,0.001643,0,1,2,2,2,2,2
0.352640,0.006805,0.074499,0.007472,0.007944,0.021868,0.000000,0.036503,0.026992,0.009815,0.132249,0.024207,0.000000,0.002466,0.000000,0.001820,0,0,1,1,1,1,1
