bin,total,start3=0,start3=1,start3=2,start3=3,start3=4
0.000000,0.013238,0.003742,0.008714,0.000782,0.000000,0.000000
0.001000,0.011953,0.003128,0.007820,0.001005,0.000000,0.000000
0.002000,0.013517,0.003854,0.008937,0.000726,0.000000,0.000000
0.003000,0.013182,0.002849,0.008825,0.001508,0.000000,0.000000
0.004000,0.015025,0.002960,0.010724,0.001341,0.000000,0.000000
0.005000,0.012456,0.002737,0.008434,0.001285,0.000000,0.000000
0.006000,0.015640,0.003128,0.010557,0.001955,0.000000,0.000000
0.007000,0.014523,0.002514,0.009887,0.002123,0.000000,0.000000
0.008000,0.014970,0.002178,0.010836,0.001955,0.000000,0.000000
0.009000,0.014132,0.002178,0.009942,0.002011,0.000000,0.000000
0.010000,0.012177,0.001564,0.008881,0.001732,0.000000,0.000000
0.011000,0.013629,0.002011,0.009384,0.002234,0.000000,0.000000
0.012000,0.013238,0.001843,0.008602,0.002793,0.000000,0.000000
0.013000,0.013797,0.001843,0.010054,0.001899,0.000000,0.000000
0.014000,0.014467,0.001341,0.010110,0.003016,0.000000,0.000000
0.015000,0.012456,0.000559,0.008043,0.003798,0.000056,0.000000
0.016000,0.014467,0.001564,0.008993,0.003910,0.000000,0.000000
0.017000,0.014355,0.001229,0.009216,0.003854,0.000056,0.000000
0.018000,0.014411,0.000559,0.009551,0.004301,0.000000,0.000000
0.019000,0.014634,0.001341,0.009049,0.004133,0.000112,0.000000
0.020000,0.016031,0.000559,0.010110,0.005306,0.000056,0.000000
0.021000,0.017092,0.000670,0.009887,0.006535,0.000000,0.000000
0.022000,0.017483,0.000503,0.010054,0.006926,0.000000,0.000000
0.023000,0.017818,0.000559,0.010724,0.006535,0.000000,0.000000
0.024000,0.018265,0.000670,0.010389,0.007150,0.000056,0.000000
0.025000,0.017707,0.000559,0.010333,0.006815,0.000000,0.000000
0.026000,0.020388,0.000335,0.011730,0.008323,0.000000,0.000000
0.027000,0.020220,0.000168,0.012847,0.007038,0.000168,0.000000
0.028000,0.019662,0.000670,0.011339,0.007596,0.000056,0.000000
0.029000,0.019550,0.000000,0.011451,0.008043,0.000056,0.000000
0.030000,0.019382,0.000223,0.012288,0.006815,0.000056,0.000000
0.031000,0.022789,0.000112,0.012568,0.009998,0.000112,0.000000
0.032000,0.020388,0.000056,0.012400,0.007876,0.000056,0.000000
0.033000,0.022622,0.000223,0.012959,0.009384,0.000056,0.000000
0.034000,0.021840,0.000112,0.013517,0.008099,0.000112,0.000000
0.035000,0.022510,0.000447,0.013238,0.008714,0.000112,0.000000
0.036000,0.020053,0.000000,0.011674,0.008211,0.000168,0.000000
0.037000,0.020220,0.000056,0.011730,0.008378,0.000056,0.000000
0.038000,0.021337,0.000000,0.012735,0.008490,0.000112,0.000000
0.039000,0.020164,0.000168,0.011562,0.007987,0.000447,0.000000
0.040000,0.018824,0.000056,0.009998,0.008658,0.000112,0.000000
0.041000,0.018712,0.000112,0.010110,0.008211,0.000279,0.000000
0.042000,0.019438,0.000000,0.011227,0.007876,0.000335,0.000000
0.043000,0.019885,0.000056,0.010222,0.009328,0.000279,0.000000
0.044000,0.020332,0.000168,0.009998,0.009887,0.000279,0.000000
0.045000,0.018433,0.000112,0.009998,0.007987,0.000335,0.000000
0.046000,0.018768,0.000112,0.010445,0.007987,0.000223,0.000000
0.047000,0.017483,0.000000,0.009216,0.008099,0.000168,0.000000
0.048000,0.014634,0.000056,0.006926,0.007373,0.000279,0.000000
0.049000,0.015081,0.000000,0.007764,0.007038,0.000279,0.000000
0.050000,0.013685,0.000056,0.006312,0.007150,0.000168,0.000000
0.051000,0.012624,0.000000,0.005921,0.006479,0.000223,0.000000
0.052000,0.010557,0.000056,0.005306,0.004860,0.000335,0.000000
0.053000,0.010054,0.000056,0.005418,0.004469,0.000112,0.000000
0.054000,0.009607,0.000056,0.004580,0.004860,0.000056,0.000056
0.055000,0.008881,0.000000,0.004189,0.004189,0.000503,0.000000
0.056000,0.008546,0.000000,0.004357,0.004078,0.000112,0.000000
0.057000,0.006870,0.000000,0.003184,0.003296,0.000391,0.000000
0.058000,0.007038,0.000000,0.003519,0.003351,0.000168,0.000000
0.059000,0.005697,0.000000,0.002905,0.002737,0.000056,0.000000
0.060000,0.005753,0.000056,0.003351,0.002346,0.000000,0.000000
0.061000,0.004469,0.000000,0.001676,0.002793,0.000000,0.000000
0.062000,0.004189,0.000000,0.001508,0.002625,0.000056,0.000000
0.063000,0.003631,0.000000,0.001787,0.001843,0.000000,0.000000
0.064000,0.002569,0.000000,0.001005,0.001564,0.000000,0.000000
0.065000,0.003519,0.000000,0.001732,0.001732,0.000056,0.000000
0.066000,0.002793,0.000000,0.001173,0.001620,0.000000,0.000000
0.067000,0.002514,0.000000,0.001452,0.000950,0.000112,0.000000
0.068000,0.002178,0.000000,0.001005,0.001061,0.000112,0.000000
0.069000,0.001396,0.000000,0.000894,0.000503,0.000000,0.000000
0.070000,0.002569,0.000000,0.001061,0.001508,0.000000,0.000000
0.071000,0.001955,0.000000,0.001117,0.000782,0.000056,0.000000
0.072000,0.002011,0.000000,0.001117,0.000838,0.000056,0.000000
0.073000,0.001508,0.000000,0.000670,0.000782,0.000056,0.000000
0.074000,0.001005,0.000000,0.000279,0.000726,0.000000,0.000000
0.075000,0.001396,0.000000,0.000726,0.000614,0.000056,0.000000
0.076000,0.001173,0.000000,0.000726,0.000447,0.000000,0.000000
0.077000,0.000726,0.000000,0.000391,0.000335,0.000000,0.000000
0.078000,0.000894,0.000000,0.000335,0.000559,0.000000,0.000000
0.079000,0.000782,0.000000,0.000447,0.000335,0.000000,0.000000
0.080000,0.000559,0.000000,0.000112,0.000447,0.000000,0.000000
0.081000,0.000391,0.000000,0.000056,0.000335,0.000000,0.000000
0.082000,0.000670,0.000000,0.000279,0.000391,0.000000,0.000000
0.083000,0.000223,0.000000,0.000112,0.000112,0.000000,0.000000
0.084000,0.000279,0.000000,0.000112,0.000168,0.000000,0.000000
0.085000,0.000391,0.000000,0.000168,0.000223,0.000000,0.000000
0.086000,0.000559,0.000000,0.000279,0.000279,0.000000,0.000000
0.087000,0.000112,0.000000,0.000112,0.000000,0.000000,0.000000
0.088000,0.000335,0.000000,0.000168,0.000168,0.000000,0.000000
0.089000,0.000335,0.000000,0.000168,0.000168,0.000000,0.000000
0.090000,0.000112,0.000000,0.000056,0.000056,0.000000,0.000000
0.091000,0.000223,0.000000,0.000112,0.000112,0.000000,0.000000
0.092000,0.000503,0.000000,0.000279,0.000223,0.000000,0.000000
