bin,total,start3=0,start3=1,start3=2,start3=3,start3=4,start3=5,start3=6,start3=7,start3=8
0.000000,0.151057,0.024893,0.079211,0.036663,0.008749,0.001133,0.000378,0.000031,0.000000,0.000000
0.001000,0.007805,0.000976,0.004060,0.002234,0.000472,0.000063,0.000000,0.000000,0.000000,0.000000
0.002000,0.007805,0.000787,0.003997,0.002455,0.000472,0.000063,0.000000,0.000031,0.000000,0.000000
0.003000,0.008214,0.001259,0.003839,0.002423,0.000598,0.000094,0.000000,0.000000,0.000000,0.000000
0.004000,0.010133,0.001511,0.005193,0.002581,0.000755,0.000031,0.000063,0.000000,0.000000,0.000000
0.005000,0.009158,0.000881,0.005130,0.002203,0.000692,0.000252,0.000000,0.000000,0.000000,0.000000
0.006000,0.009598,0.000661,0.005570,0.002769,0.000504,0.000094,0.000000,0.000000,0.000000,0.000000
0.007000,0.010196,0.000976,0.005728,0.002518,0.000913,0.000031,0.000000,0.000000,0.000000,0.000031
0.008000,0.012053,0.001227,0.006703,0.003210,0.000850,0.000031,0.000031,0.000000,0.000000,0.000000
0.009000,0.011424,0.001039,0.006483,0.003021,0.000818,0.000031,0.000031,0.000000,0.000000,0.000000
0.010000,0.015892,0.001511,0.008623,0.004374,0.001007,0.000346,0.000031,0.000000,0.000000,0.000000
0.011000,0.014256,0.001605,0.007868,0.003556,0.001133,0.000094,0.000000,0.000000,0.000000,0.000000
0.012000,0.013312,0.001416,0.007301,0.003336,0.000913,0.000252,0.000094,0.000000,0.000000,0.000000
0.013000,0.012273,0.001322,0.006200,0.003776,0.000818,0.000126,0.000031,0.000000,0.000000,0.000000
0.014000,0.012116,0.001636,0.005696,0.003304,0.001164,0.000315,0.000000,0.000000,0.000000,0.000000
0.015000,0.012808,0.001416,0.006168,0.004060,0.000913,0.000157,0.000094,0.000000,0.000000,0.000000
0.016000,0.013658,0.001322,0.006923,0.004500,0.000692,0.000126,0.000094,0.000000,0.000000,0.000000
0.017000,0.015326,0.000724,0.007364,0.005035,0.001762,0.000346,0.000094,0.000000,0.000000,0.000000
0.018000,0.019134,0.001070,0.007899,0.007333,0.002171,0.000566,0.000094,0.000000,0.000000,0.000000
0.019000,0.019921,0.000881,0.008528,0.007521,0.002486,0.000441,0.000031,0.000031,0.000000,0.000000
0.020000,0.021715,0.000504,0.008843,0.009126,0.002581,0.000504,0.000094,0.000063,0.000000,0.000000
0.021000,0.016239,0.000441,0.006829,0.006200,0.002329,0.000409,0.000031,0.000000,0.000000,0.000000
0.022000,0.016837,0.000378,0.006923,0.007364,0.001668,0.000441,0.000031,0.000031,0.000000,0.000000
0.023000,0.016522,0.000220,0.006420,0.007427,0.002046,0.000346,0.000031,0.000031,0.000000,0.000000
0.024000,0.017340,0.000566,0.007207,0.007112,0.002140,0.000252,0.000031,0.000000,0.000000,0.000031
0.025000,0.016648,0.000472,0.006483,0.007081,0.002171,0.000346,0.000094,0.000000,0.000000,0.000000
0.026000,0.017560,0.000283,0.007049,0.007301,0.002329,0.000472,0.000094,0.000031,0.000000,0.000000
0.027000,0.018630,0.000566,0.007679,0.007679,0.002329,0.000346,0.000031,0.000000,0.000000,0.000000
0.028000,0.020267,0.000629,0.007993,0.008749,0.002234,0.000598,0.000063,0.000000,0.000000,0.000000
0.029000,0.022344,0.000661,0.008497,0.009252,0.003178,0.000629,0.000094,0.000031,0.000000,0.000000
0.030000,0.015515,0.000346,0.006263,0.006231,0.002077,0.000441,0.000157,0.000000,0.000000,0.000000
0.031000,0.015546,0.000189,0.006357,0.006420,0.002077,0.000472,0.000031,0.000000,0.000000,0.000000
0.032000,0.014697,0.000378,0.005350,0.006168,0.002297,0.000441,0.000063,0.000000,0.000000,0.000000
0.033000,0.014130,0.000220,0.005665,0.006357,0.001574,0.000283,0.000031,0.000000,0.000000,0.000000
0.034000,0.014004,0.000346,0.005161,0.005665,0.002140,0.000535,0.000094,0.000000,0.000031,0.000031
0.035000,0.014823,0.000346,0.005602,0.006200,0.001983,0.000504,0.000189,0.000000,0.000000,0.000000
0.036000,0.013658,0.000283,0.004846,0.005602,0.002046,0.000850,0.000031,0.000000,0.000000,0.000000
0.037000,0.015200,0.000189,0.004972,0.006735,0.002738,0.000504,0.000063,0.000000,0.000000,0.000000
0.038000,0.015358,0.000504,0.005728,0.006011,0.002297,0.000598,0.000220,0.000000,0.000000,0.000000
0.039000,0.014319,0.000126,0.005130,0.006609,0.001888,0.000441,0.000094,0.000031,0.000000,0.000000
0.040000,0.012462,0.000315,0.004280,0.005728,0.001699,0.000378,0.000063,0.000000,0.000000,0.000000
0.041000,0.012336,0.000283,0.004532,0.005224,0.001731,0.000472,0.000063,0.000031,0.000000,0.000000
0.042000,0.011203,0.000346,0.003713,0.004972,0.001636,0.000441,0.000094,0.000000,0.000000,0.000000
0.043000,0.009126,0.000094,0.003399,0.003839,0.001511,0.000220,0.000063,0.000000,0.000000,0.000000
0.044000,0.009693,0.000283,0.003682,0.003902,0.001479,0.000283,0.000031,0.000031,0.000000,0.000000
0.045000,0.009189,0.000315,0.003273,0.004123,0.001227,0.000252,0.000000,0.000000,0.000000,0.000000
0.046000,0.008812,0.000535,0.003116,0.003178,0.001290,0.000472,0.000189,0.000031,0.000000,0.000000
0.047000,0.009315,0.000472,0.003997,0.003367,0.001133,0.000252,0.000063,0.000031,0.000000,0.000000
0.048000,0.009693,0.000850,0.003399,0.003651,0.001511,0.000283,0.000000,0.000000,0.000000,0.000000
0.049000,0.008025,0.000629,0.003745,0.002518,0.000881,0.000220,0.000031,0.000000,0.000000,0.000000
0.050000,0.007962,0.000724,0.003713,0.002549,0.000755,0.000157,0.000063,0.000000,0.000000,0.000000
0.051000,0.005728,0.000346,0.002455,0.002203,0.000724,0.000000,0.000000,0.000000,0.000000,0.000000
0.052000,0.005476,0.000472,0.002455,0.001605,0.000724,0.000220,0.000000,0.000000,0.000000,0.000000
0.053000,0.004689,0.000189,0.001794,0.001762,0.000818,0.000126,0.000000,0.000000,0.000000,0.000000
0.054000,0.004689,0.000157,0.002297,0.001699,0.000472,0.000063,0.000000,0.000000,0.000000,0.000000
0.055000,0.004217,0.000220,0.001951,0.001542,0.000378,0.000063,0.000063,0.000000,0.000000,0.000000
0.056000,0.003493,0.000157,0.001762,0.000913,0.000504,0.000157,0.000000,0.000000,0.000000,0.000000
0.057000,0.003934,0.000189,0.001731,0.001511,0.000378,0.000126,0.000000,0.000000,0.000000,0.000000
0.058000,0.003965,0.000252,0.002077,0.001039,0.000535,0.000063,0.000000,0.000000,0.000000,0.000000
0.059000,0.003745,0.000094,0.001951,0.001196,0.000378,0.000094,0.000000,0.000000,0.000031,0.000000
0.060000,0.003619,0.000315,0.001511,0.001259,0.000472,0.000031,0.000031,0.000000,0.000000,0.000000
0.061000,0.003084,0.000220,0.001699,0.001007,0.000157,0.000000,0.000000,0.000000,0.000000,0.000000
0.062000,0.003430,0.000252,0.001794,0.001164,0.000220,0.000000,0.000000,0.000000,0.000000,0.000000
0.063000,0.003745,0.000283,0.001888,0.001196,0.000315,0.000031,0.000031,0.000000,0.000000,0.000000
0.064000,0.002801,0.000094,0.001196,0.001196,0.000220,0.000094,0.000000,0.000000,0.000000,0.000000
0.065000,0.003336,0.000126,0.001888,0.000944,0.000378,0.000000,0.000000,0.000000,0.000000,0.000000
0.066000,0.002486,0.000126,0.001353,0.000724,0.000189,0.000031,0.000000,0.000063,0.000000,0.000000
0.067000,0.002832,0.000315,0.001164,0.000944,0.000346,0.000031,0.000031,0.000000,0.000000,0.000000
0.068000,0.003336,0.000189,0.001416,0.001479,0.000220,0.000031,0.000000,0.000000,0.000000,0.000000
0.069000,0.003241,0.000157,0.001448,0.001007,0.000535,0.000063,0.000031,0.000000,0.000000,0.000000
0.070000,0.003776,0.000252,0.001636,0.001353,0.000504,0.000031,0.000000,0.000000,0.000000,0.000000
0.071000,0.003178,0.000189,0.001259,0.001259,0.000409,0.000063,0.000000,0.000000,0.000000,0.000000
0.072000,0.003084,0.000063,0.001227,0.001196,0.000504,0.000031,0.000031,0.000031,0.000000,0.000000
0.073000,0.002832,0.000094,0.001164,0.001385,0.000189,0.000000,0.000000,0.000000,0.000000,0.000000
0.074000,0.003556,0.000063,0.001636,0.001605,0.000189,0.000063,0.000000,0.000000,0.000000,0.000000
0.075000,0.003210,0.000031,0.001605,0.001196,0.000346,0.000031,0.000000,0.000000,0.000000,0.000000
0.076000,0.002895,0.000031,0.001259,0.001196,0.000283,0.000094,0.000031,0.000000,0.000000,0.000000
0.077000,0.003997,0.000189,0.001731,0.001574,0.000378,0.000094,0.000031,0.000000,0.000000,0.000000
0.078000,0.003619,0.000157,0.001479,0.001353,0.000598,0.000031,0.000000,0.000000,0.000000,0.000000
0.079000,0.003053,0.000126,0.001290,0.001227,0.000378,0.000031,0.000000,0.000000,0.000000,0.000000
0.080000,0.002864,0.000157,0.000944,0.001353,0.000315,0.000094,0.000000,0.000000,0.000000,0.000000
0.081000,0.002266,0.000126,0.000787,0.000881,0.000409,0.000063,0.000000,0.000000,0.000000,0.000000
0.082000,0.002612,0.000063,0.000850,0.001259,0.000346,0.000094,0.000000,0.000000,0.000000,0.000000
0.083000,0.002234,0.000031,0.001101,0.000913,0.000157,0.000031,0.000000,0.000000,0.000000,0.000000
0.084000,0.002769,0.000063,0.001196,0.001039,0.000472,0.000000,0.000000,0.000000,0.000000,0.000000
0.085000,0.002392,0.000063,0.000913,0.000944,0.000346,0.000094,0.000031,0.000000,0.000000,0.000000
0.086000,0.002675,0.000063,0.000913,0.001322,0.000283,0.000094,0.000000,0.000000,0.000000,0.000000
0.087000,0.002486,0.000000,0.000881,0.001164,0.000378,0.000031,0.000031,0.000000,0.000000,0.000000
0.088000,0.002360,0.000063,0.000850,0.001133,0.000189,0.000126,0.000000,0.000000,0.000000,0.000000
0.089000,0.002297,0.000031,0.000881,0.000944,0.000346,0.000094,0.000000,0.000000,0.000000,0.000000
0.090000,0.002014,0.000031,0.000566,0.001133,0.000252,0.000031,0.000000,0.000000,0.000000,0.000000
0.091000,0.001825,0.000000,0.000913,0.000598,0.000220,0.000094,0.000000,0.000000,0.000000,0.000000
0.092000,0.002203,0.000126,0.000787,0.000976,0.000252,0.000031,0.000031,0.000000,0.000000,0.000000
0.093000,0.001636,0.000063,0.000566,0.000692,0.000252,0.000063,0.000000,0.000000,0.000000,0.000000
0.094000,0.001825,0.000031,0.000724,0.000818,0.000157,0.000063,0.000031,0.000000,0.000000,0.000000
0.095000,0.001322,0.000031,0.000504,0.000566,0.000220,0.000000,0.000000,0.000000,0.000000,0.000000
0.096000,0.001479,0.000031,0.000661,0.000409,0.000315,0.000063,0.000000,0.000000,0.000000,0.000000
0.097000,0.001227,0.000094,0.000535,0.000346,0.000220,0.000031,0.000000,0.000000,0.000000,0.000000
0.098000,0.001322,0.000063,0.000566,0.000504,0.000157,0.000000,0.000031,0.000000,0.000000,0.000000
0.099000,0.001164,0.000000,0.000566,0.000378,0.000157,0.000031,0.000031,0.000000,0.000000,0.000000
0.100000,0.001196,0.000063,0.000504,0.000472,0.000157,0.000000,0.000000,0.000000,0.000000,0.000000
0.101000,0.001290,0.000031,0.000504,0.000535,0.000157,0.000031,0.000031,0.000000,0.000000,0.000000
0.102000,0.001101,0.000126,0.000535,0.000283,0.000094,0.000000,0.000031,0.000031,0.000000,0.000000
0.103000,0.000787,0.000063,0.000409,0.000220,0.000094,0.000000,0.000000,0.000000,0.000000,0.000000
0.104000,0.000818,0.000000,0.000378,0.000283,0.000126,0.000031,0.000000,0.000000,0.000000,0.000000
0.105000,0.000504,0.000031,0.000220,0.000252,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.106000,0.000629,0.000031,0.000220,0.000315,0.000063,0.000000,0.000000,0.000000,0.000000,0.000000
0.107000,0.000661,0.000000,0.000252,0.000283,0.000094,0.000000,0.000031,0.000000,0.000000,0.000000
0.108000,0.000881,0.000094,0.000441,0.000283,0.000063,0.000000,0.000000,0.000000,0.000000,0.000000
0.109000,0.000724,0.000000,0.000346,0.000220,0.000094,0.000000,0.000031,0.000031,0.000000,0.000000
0.110000,0.000755,0.000063,0.000441,0.000220,0.000000,0.000000,0.000031,0.000000,0.000000,0.000000
0.111000,0.000661,0.000031,0.000346,0.000189,0.000094,0.000000,0.000000,0.000000,0.000000,0.000000
0.112000,0.000472,0.000031,0.000220,0.000157,0.000063,0.000000,0.000000,0.000000,0.000000,0.000000
0.113000,0.000504,0.000031,0.000220,0.000189,0.000063,0.000000,0.000000,0.000000,0.000000,0.000000
0.114000,0.000755,0.000094,0.000189,0.000315,0.000094,0.000063,0.000000,0.000000,0.000000,0.000000
0.115000,0.000441,0.000031,0.000220,0.000189,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.116000,0.000441,0.000094,0.000157,0.000157,0.000000,0.000000,0.000031,0.000000,0.000000,0.000000
0.117000,0.000441,0.000063,0.000126,0.000220,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000
0.118000,0.000441,0.000000,0.000157,0.000189,0.000031,0.000063,0.000000,0.000000,0.000000,0.000000
0.119000,0.000346,0.000000,0.000189,0.000063,0.000094,0.000000,0.000000,0.000000,0.000000,0.000000
0.120000,0.000472,0.000000,0.000252,0.000189,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000
0.121000,0.000315,0.000000,0.000126,0.000157,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000
0.122000,0.000755,0.000031,0.000220,0.000346,0.000094,0.000063,0.000000,0.000000,0.000000,0.000000
0.123000,0.000504,0.000031,0.000157,0.000157,0.000063,0.000063,0.000031,0.000000,0.000000,0.000000
0.124000,0.000535,0.000063,0.000189,0.000252,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000
0.125000,0.000535,0.000000,0.000283,0.000189,0.000063,0.000000,0.000000,0.000000,0.000000,0.000000
0.126000,0.000346,0.000000,0.000189,0.000094,0.000063,0.000000,0.000000,0.000000,0.000000,0.000000
0.127000,0.000535,0.000031,0.000220,0.000189,0.000094,0.000000,0.000000,0.000000,0.000000,0.000000
0.128000,0.000755,0.000063,0.000157,0.000409,0.000063,0.000063,0.000000,0.000000,0.000000,0.000000
0.129000,0.000472,0.000000,0.000094,0.000346,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000
0.130000,0.000504,0.000000,0.000157,0.000126,0.000220,0.000000,0.000000,0.000000,0.000000,0.000000
0.131000,0.000346,0.000031,0.000126,0.000157,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000
0.132000,0.000378,0.000031,0.000220,0.000063,0.000063,0.000000,0.000000,0.000000,0.000000,0.000000
0.133000,0.000220,0.000000,0.000094,0.000126,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.134000,0.000409,0.000000,0.000063,0.000283,0.000063,0.000000,0.000000,0.000000,0.000000,0.000000
0.135000,0.000409,0.000000,0.000189,0.000157,0.000031,0.000031,0.000000,0.000000,0.000000,0.000000
0.136000,0.000220,0.000031,0.000126,0.000000,0.000063,0.000000,0.000000,0.000000,0.000000,0.000000
0.137000,0.000409,0.000000,0.000157,0.000126,0.000094,0.000031,0.000000,0.000000,0.000000,0.000000
0.138000,0.000315,0.000000,0.000063,0.000189,0.000063,0.000000,0.000000,0.000000,0.000000,0.000000
0.139000,0.000220,0.000000,0.000063,0.000126,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000
0.140000,0.000346,0.000000,0.000094,0.000189,0.000063,0.000000,0.000000,0.000000,0.000000,0.000000
0.141000,0.000220,0.000031,0.000063,0.000094,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000
0.142000,0.000157,0.000000,0.000063,0.000031,0.000031,0.000031,0.000000,0.000000,0.000000,0.000000
0.143000,0.000157,0.000000,0.000000,0.000126,0.000000,0.000031,0.000000,0.000000,0.000000,0.000000
0.144000,0.000189,0.000063,0.000094,0.000000,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000
0.145000,0.000189,0.000031,0.000063,0.000031,0.000031,0.000031,0.000000,0.000000,0.000000,0.000000
0.146000,0.000283,0.000000,0.000063,0.000126,0.000094,0.000000,0.000000,0.000000,0.000000,0.000000
0.147000,0.000063,0.000000,0.000031,0.000000,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000
0.148000,0.000252,0.000031,0.000189,0.000000,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000
0.149000,0.000157,0.000000,0.000094,0.000063,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.150000,0.000189,0.000000,0.000126,0.000031,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000
0.151000,0.000063,0.000000,0.000000,0.000031,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000
0.152000,0.000157,0.000000,0.000063,0.000063,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000
0.153000,0.000063,0.000000,0.000000,0.000031,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000
0.154000,0.000126,0.000031,0.000063,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.155000,0.000063,0.000000,0.000031,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.156000,0.000094,0.000031,0.000031,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.157000,0.000220,0.000000,0.000063,0.000157,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.158000,0.000063,0.000000,0.000000,0.000031,0.000000,0.000031,0.000000,0.000000,0.000000,0.000000
0.160000,0.000126,0.000031,0.000094,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.162000,0.000063,0.000031,0.000000,0.000000,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000
0.163000,0.000189,0.000000,0.000094,0.000031,0.000031,0.000031,0.000000,0.000000,0.000000,0.000000
0.164000,0.000063,0.000000,0.000031,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.165000,0.000157,0.000031,0.000094,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.167000,0.000031,0.000000,0.000000,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.168000,0.000094,0.000000,0.000031,0.000063,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.169000,0.000094,0.000000,0.000031,0.000031,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000
0.170000,0.000094,0.000000,0.000000,0.000094,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.171000,0.000063,0.000000,0.000063,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.172000,0.000063,0.000000,0.000031,0.000000,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000
0.174000,0.000063,0.000000,0.000031,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.175000,0.000063,0.000000,0.000031,0.000000,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000
0.176000,0.000094,0.000000,0.000031,0.000063,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.177000,0.000063,0.000000,0.000000,0.000063,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.178000,0.000063,0.000000,0.000031,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.179000,0.000063,0.000000,0.000031,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.180000,0.000063,0.000000,0.000000,0.000031,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000
0.181000,0.000063,0.000000,0.000031,0.000000,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000
0.182000,0.000063,0.000000,0.000031,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.183000,0.000031,0.000000,0.000000,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.185000,0.000094,0.000031,0.000000,0.000031,0.000000,0.000031,0.000000,0.000000,0.000000,0.000000
0.187000,0.000031,0.000000,0.000000,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.188000,0.000063,0.000000,0.000031,0.000000,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000
0.190000,0.000063,0.000000,0.000031,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.192000,0.000094,0.000000,0.000031,0.000031,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000
0.193000,0.000031,0.000000,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.195000,0.000126,0.000000,0.000063,0.000031,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000
0.196000,0.000063,0.000000,0.000031,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.197000,0.000094,0.000031,0.000000,0.000063,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.198000,0.000094,0.000000,0.000063,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.199000,0.000031,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,0.000031,0.000000,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.201000,0.000031,0.000000,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.202000,0.000031,0.000000,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
