bin,total,finish1->start2,finish2->start3,start1->finish1,start2->finish2,start3->finish3
0.075000,0.000142,0.000000,0.000013,0.000027,0.000044,0.000058
0.076000,0.001277,0.000005,0.000114,0.000246,0.000400,0.000513
0.077000,0.003299,0.000012,0.000291,0.000610,0.001059,0.001328
0.078000,0.006278,0.000038,0.000611,0.001160,0.001947,0.002523
0.079000,0.010783,0.000091,0.001100,0.001962,0.003288,0.004342
0.080000,0.018161,0.000167,0.001879,0.003241,0.005511,0.007363
0.081000,0.023837,0.000221,0.002546,0.004265,0.007117,0.009688
0.082000,0.035045,0.000338,0.003936,0.006141,0.010336,0.014293
0.083000,0.039621,0.000426,0.004337,0.006908,0.011615,0.016335
0.084000,0.048702,0.000516,0.005567,0.008387,0.014034,0.020198
0.085000,0.053348,0.000595,0.006154,0.009069,0.015214,0.022318
0.086000,0.054448,0.000601,0.006474,0.009159,0.015325,0.022890
0.087000,0.051256,0.000555,0.006238,0.008540,0.014269,0.021655
0.088000,0.045332,0.000560,0.005686,0.007407,0.012545,0.019134
0.089000,0.035968,0.000514,0.004461,0.005933,0.009852,0.015207
0.090000,0.025114,0.000457,0.003234,0.004017,0.006807,0.010598
0.091000,0.016068,0.000273,0.002143,0.002557,0.004294,0.006801
0.092000,0.009010,0.000169,0.001231,0.001411,0.002390,0.003808
0.093000,0.003121,0.000060,0.000433,0.000500,0.000818,0.001311
0.094000,0.000674,0.000025,0.000089,0.000104,0.000173,0.000282
0.095000,0.000106,0.000000,0.000019,0.000016,0.000026,0.000045
0.125000,0.000213,0.000033,0.000061,0.000028,0.000039,0.000052
0.126000,0.001135,0.000197,0.000312,0.000134,0.000215,0.000276
0.127000,0.003760,0.000639,0.001031,0.000435,0.000735,0.000921
0.128000,0.007236,0.001324,0.001907,0.000821,0.001407,0.001776
0.129000,0.012308,0.002188,0.003286,0.001444,0.002348,0.003042
0.130000,0.017594,0.003266,0.004598,0.001987,0.003332,0.004411
0.131000,0.028199,0.005101,0.007523,0.003143,0.005319,0.007113
0.132000,0.037848,0.006851,0.010040,0.004194,0.007081,0.009682
0.133000,0.044729,0.007934,0.011977,0.004952,0.008312,0.011555
0.134000,0.049908,0.008823,0.013387,0.005499,0.009157,0.013042
0.135000,0.054909,0.009919,0.014430,0.005948,0.010060,0.014552
0.136000,0.059982,0.010724,0.015895,0.006482,0.010880,0.016001
0.137000,0.053455,0.009466,0.014254,0.005754,0.009608,0.014373
0.138000,0.046290,0.008153,0.012340,0.004936,0.008358,0.012502
0.139000,0.035755,0.006325,0.009527,0.003796,0.006397,0.009710
0.140000,0.027384,0.004709,0.007465,0.002892,0.004862,0.007456
0.141000,0.018835,0.003294,0.005131,0.001945,0.003311,0.005153
0.142000,0.008797,0.001534,0.002391,0.000910,0.001556,0.002405
0.143000,0.003405,0.000579,0.000946,0.000355,0.000589,0.000935
0.144000,0.000958,0.000165,0.000263,0.000103,0.000164,0.000263
0.176000,0.000035,0.000014,0.000007,0.000003,0.000005,0.000006
0.177000,0.000035,0.000019,0.000003,0.000002,0.000005,0.000006
0.178000,0.000106,0.000047,0.000017,0.000008,0.000015,0.000019
0.179000,0.000035,0.000013,0.000008,0.000003,0.000005,0.000006
0.180000,0.000319,0.000129,0.000061,0.000024,0.000046,0.000058
0.181000,0.000177,0.000065,0.000038,0.000016,0.000026,0.000032
0.182000,0.000248,0.000096,0.000052,0.000021,0.000032,0.000047
0.183000,0.000745,0.000308,0.000141,0.000059,0.000097,0.000140
0.184000,0.000780,0.000315,0.000148,0.000066,0.000103,0.000150
0.185000,0.000532,0.000223,0.000097,0.000043,0.000066,0.000102
0.186000,0.000638,0.000253,0.000125,0.000049,0.000085,0.000126
0.187000,0.000461,0.000192,0.000079,0.000037,0.000060,0.000094
0.188000,0.000532,0.000219,0.000098,0.000041,0.000069,0.000105
0.189000,0.000390,0.000155,0.000073,0.000031,0.000053,0.000078
0.190000,0.000319,0.000126,0.000061,0.000026,0.000041,0.000065
0.191000,0.000177,0.000063,0.000042,0.000013,0.000023,0.000036
0.192000,0.000071,0.000026,0.000016,0.000006,0.000009,0.000014
0.193000,0.000035,0.000013,0.000007,0.000004,0.000005,0.000007
0.232000,0.000035,0.000019,0.000007,0.000002,0.000003,0.000005
0.241000,0.000035,0.000018,0.000006,0.000002,0.000004,0.000005
