bin,total,finish1->start2,finish2->start3,start1->finish1,start2->finish2,start3->finish3
0.060000,0.000035,0.000000,0.000000,0.000006,0.000012,0.000018
0.061000,0.000175,0.000001,0.000000,0.000031,0.000058,0.000086
0.062000,0.000454,0.000000,0.000000,0.000078,0.000149,0.000227
0.063000,0.000419,0.000002,0.000001,0.000074,0.000136,0.000206
0.064000,0.000559,0.000001,0.000001,0.000106,0.000181,0.000270
0.065000,0.000454,0.000006,0.000003,0.000085,0.000141,0.000219
0.066000,0.000698,0.000002,0.000003,0.000134,0.000227,0.000333
0.067000,0.001013,0.000008,0.000003,0.000190,0.000333,0.000480
0.068000,0.000943,0.000002,0.000002,0.000181,0.000309,0.000449
0.069000,0.001816,0.000001,0.000015,0.000367,0.000592,0.000841
0.070000,0.001467,0.000021,0.000011,0.000283,0.000468,0.000684
0.071000,0.001606,0.000034,0.000006,0.000310,0.000495,0.000762
0.072000,0.001641,0.000012,0.000023,0.000312,0.000526,0.000768
0.073000,0.001851,0.000021,0.000028,0.000351,0.000599,0.000851
0.074000,0.002584,0.000043,0.000056,0.000483,0.000832,0.001170
0.075000,0.003143,0.000064,0.000103,0.000577,0.001003,0.001397
0.076000,0.003981,0.000078,0.000169,0.000766,0.001263,0.001706
0.077000,0.005029,0.000111,0.000229,0.000979,0.001601,0.002109
0.078000,0.007159,0.000219,0.000379,0.001361,0.002261,0.002939
0.079000,0.009185,0.000275,0.000569,0.001698,0.002871,0.003772
0.080000,0.010337,0.000323,0.000711,0.001918,0.003226,0.004160
0.081000,0.011420,0.000394,0.000802,0.002091,0.003479,0.004654
0.082000,0.012293,0.000479,0.000962,0.002151,0.003701,0.005001
0.083000,0.012607,0.000521,0.000978,0.002256,0.003723,0.005129
0.084000,0.013830,0.000570,0.001042,0.002426,0.004105,0.005687
0.085000,0.013725,0.000530,0.001104,0.002391,0.003971,0.005729
0.086000,0.011210,0.000532,0.000874,0.001920,0.003202,0.004681
0.087000,0.011210,0.000530,0.000964,0.001910,0.003139,0.004667
0.088000,0.009045,0.000468,0.000829,0.001520,0.002526,0.003702
0.089000,0.010302,0.000584,0.001035,0.001695,0.002864,0.004123
0.090000,0.007683,0.000485,0.000761,0.001266,0.002093,0.003079
0.091000,0.006950,0.000586,0.000747,0.001100,0.001836,0.002679
0.092000,0.006775,0.000538,0.000783,0.001057,0.001794,0.002603
0.093000,0.005448,0.000461,0.000725,0.000817,0.001477,0.001967
0.094000,0.005099,0.000322,0.000786,0.000768,0.001365,0.001858
0.095000,0.005693,0.000530,0.000772,0.000853,0.001492,0.002047
0.096000,0.007858,0.000663,0.001285,0.001169,0.001983,0.002759
0.097000,0.008801,0.000810,0.001377,0.001301,0.002225,0.003088
0.098000,0.008626,0.000769,0.001471,0.001270,0.002147,0.002969
0.099000,0.009255,0.000849,0.001557,0.001336,0.002337,0.003177
0.100000,0.010302,0.001118,0.001627,0.001518,0.002517,0.003523
0.101000,0.008836,0.000979,0.001472,0.001253,0.002144,0.002987
0.102000,0.008312,0.000887,0.001457,0.001207,0.001997,0.002763
