bin,total,Braking_START->Braking_FINISH,Camera1_FINISH->Perception_CameraPerception_START,Camera1_START->Camera1_FINISH,CollisionDetection_BrakingDecision_FINISH->Braking_START,CollisionDetection_BrakingDecision_START->CollisionDetection_BrakingDecision_FINISH,CollisionDetection_TimeToCollision_FINISH->CollisionDetection_BrakingDecision_START,CollisionDetection_TimeToCollision_START->CollisionDetection_TimeToCollision_FINISH,Perception_CameraPerception_FINISH->Perception_Fusion_START,Perception_CameraPerception_START->Perception_CameraPerception_FINISH,Perception_Fusion_FINISH->SemanticExtraction_ObjectDetection_START,Perception_Fusion_START->Perception_Fusion_FINISH,SemanticExtraction_ObjectDetection_FINISH->SemanticExtraction_Prediction_START,SemanticExtraction_ObjectDetection_START->SemanticExtraction_ObjectDetection_FINISH,SemanticExtraction_Prediction_FINISH->CollisionDetection_TimeToCollision_START,SemanticExtraction_Prediction_START->SemanticExtraction_Prediction_FINISH
0.409000,0.006549,0.000155,0.001128,0.000078,0.000000,0.000083,0.000015,0.000433,0.000761,0.000135,0.000000,0.000408,0.000075,0.000854,0.002274,0.000150
0.410000,0.006549,0.000159,0.001180,0.000073,0.000000,0.000078,0.000014,0.000468,0.000669,0.000146,0.000000,0.000405,0.000063,0.000874,0.002261,0.000158
0.411000,0.009823,0.000236,0.001863,0.000106,0.000000,0.000100,0.000016,0.000760,0.001363,0.000251,0.000000,0.000635,0.000086,0.001147,0.003022,0.000239
0.412000,0.005239,0.000111,0.001046,0.000080,0.000000,0.000073,0.000029,0.000384,0.000609,0.000127,0.000000,0.000316,0.000075,0.000587,0.001676,0.000128
0.413000,0.005894,0.000148,0.001095,0.000051,0.000000,0.000045,0.000000,0.000416,0.000706,0.000148,0.000000,0.000376,0.000046,0.000694,0.002034,0.000135
0.414000,0.007204,0.000167,0.001281,0.000106,0.000000,0.000089,0.000017,0.000525,0.000887,0.000183,0.000015,0.000479,0.000065,0.000975,0.002233,0.000183
0.415000,0.008513,0.000213,0.001617,0.000118,0.000000,0.000102,0.000000,0.000577,0.000856,0.000185,0.000000,0.000516,0.000159,0.001041,0.002927,0.000201
0.416000,0.006549,0.000167,0.001173,0.000073,0.000000,0.000072,0.000000,0.000463,0.000863,0.000133,0.000000,0.000413,0.000084,0.000811,0.002143,0.000156
0.417000,0.006549,0.000138,0.001091,0.000063,0.000000,0.000074,0.000059,0.000469,0.000654,0.000184,0.000000,0.000407,0.000104,0.000823,0.002328,0.000155
0.418000,0.010478,0.000253,0.002028,0.000147,0.000000,0.000110,0.000033,0.000758,0.001079,0.000229,0.000000,0.000648,0.000149,0.001294,0.003509,0.000241
