bin,total,start3=0,start3=1,start3=2,start3=3
0.000000,0.414361,0.197415,0.215064,0.001882,0.000000
0.001000,0.009375,0.005220,0.003977,0.000178,0.000000
0.002000,0.008132,0.004546,0.003374,0.000213,0.000000
0.003000,0.007564,0.003516,0.003729,0.000320,0.000000
0.004000,0.008416,0.003942,0.003871,0.000604,0.000000
0.005000,0.008097,0.003374,0.003906,0.000817,0.000000
0.006000,0.008097,0.002663,0.004617,0.000817,0.000000
0.007000,0.009162,0.002841,0.004297,0.002024,0.000000
0.008000,0.010405,0.002841,0.005611,0.001953,0.000000
0.009000,0.010973,0.002592,0.005611,0.002770,0.000000
0.010000,0.009269,0.001811,0.005078,0.002379,0.000000
0.011000,0.012536,0.001527,0.007209,0.003800,0.000000
0.012000,0.012500,0.001243,0.007316,0.003942,0.000000
0.013000,0.013175,0.001207,0.008026,0.003942,0.000000
0.014000,0.016087,0.000852,0.009873,0.005362,0.000000
0.015000,0.017543,0.000746,0.010405,0.006392,0.000000
0.016000,0.019567,0.000426,0.011400,0.007742,0.000000
0.017000,0.020704,0.000284,0.011719,0.008701,0.000000
0.018000,0.021414,0.000178,0.011648,0.009588,0.000000
0.019000,0.023936,0.000036,0.012785,0.011115,0.000000
0.020000,0.024823,0.000036,0.013140,0.011648,0.000000
0.021000,0.024646,0.000000,0.011115,0.013530,0.000000
0.022000,0.023793,0.000000,0.010973,0.012820,0.000000
0.023000,0.020952,0.000000,0.008949,0.012003,0.000000
0.024000,0.018857,0.000000,0.007316,0.011542,0.000000
0.025000,0.018040,0.000000,0.006286,0.011755,0.000000
0.026000,0.016655,0.000000,0.005114,0.011542,0.000000
0.027000,0.012607,0.000000,0.004546,0.008061,0.000000
0.028000,0.011186,0.000000,0.003445,0.007742,0.000000
0.029000,0.011435,0.000000,0.004297,0.007138,0.000000
0.030000,0.012252,0.000000,0.005114,0.007138,0.000000
0.031000,0.013850,0.000000,0.006570,0.007280,0.000000
0.032000,0.015448,0.000000,0.007742,0.007706,0.000000
0.033000,0.015235,0.000000,0.007316,0.007919,0.000000
0.034000,0.015484,0.000000,0.007387,0.008097,0.000000
0.035000,0.016726,0.000000,0.007990,0.008736,0.000000
0.036000,0.013885,0.000000,0.006996,0.006889,0.000000
0.037000,0.011506,0.000000,0.005504,0.006002,0.000000
0.038000,0.009730,0.000000,0.004865,0.004865,0.000000
0.039000,0.006783,0.000000,0.003054,0.003729,0.000000
0.040000,0.003906,0.000000,0.001705,0.002202,0.000000
0.041000,0.001989,0.000000,0.000817,0.001172,0.000000
0.042000,0.000959,0.000000,0.000462,0.000497,0.000000
0.043000,0.001136,0.000000,0.000675,0.000462,0.000000
0.044000,0.000781,0.000000,0.000284,0.000497,0.000000
0.045000,0.000533,0.000000,0.000213,0.000320,0.000000
0.046000,0.000888,0.000000,0.000249,0.000639,0.000000
0.047000,0.000959,0.000000,0.000497,0.000462,0.000000
0.048000,0.001243,0.000000,0.000675,0.000568,0.000000
0.049000,0.001385,0.000000,0.000604,0.000781,0.000000
0.050000,0.000852,0.000000,0.000426,0.000426,0.000000
0.051000,0.000533,0.000000,0.000249,0.000284,0.000000
0.052000,0.000852,0.000000,0.000426,0.000426,0.000000
0.053000,0.000923,0.000000,0.000426,0.000497,0.000000
0.054000,0.000497,0.000000,0.000142,0.000320,0.000036
0.055000,0.000355,0.000000,0.000178,0.000178,0.000000
0.056000,0.000391,0.000000,0.000178,0.000178,0.000036
0.057000,0.000320,0.000000,0.000000,0.000320,0.000000
0.058000,0.000142,0.000000,0.000071,0.000071,0.000000
0.059000,0.000142,0.000000,0.000036,0.000071,0.000036
0.060000,0.000213,0.000000,0.000036,0.000142,0.000036
0.061000,0.000142,0.000000,0.000000,0.000107,0.000036
0.062000,0.000355,0.000000,0.000071,0.000178,0.000107
0.063000,0.000071,0.000000,0.000000,0.000036,0.000036
0.064000,0.000320,0.000000,0.000000,0.000142,0.000178
0.065000,0.000142,0.000000,0.000036,0.000071,0.000036
0.066000,0.000178,0.000000,0.000000,0.000000,0.000178
0.067000,0.000284,0.000000,0.000000,0.000213,0.000071
0.068000,0.000213,0.000000,0.000000,0.000142,0.000071
0.069000,0.000213,0.000000,0.000000,0.000213,0.000000
0.070000,0.000249,0.000000,0.000000,0.000142,0.000107
0.071000,0.000462,0.000000,0.000000,0.000284,0.000178
0.072000,0.000391,0.000000,0.000000,0.000142,0.000249
0.073000,0.000249,0.000000,0.000000,0.000213,0.000036
0.074000,0.000142,0.000000,0.000000,0.000071,0.000071
0.075000,0.000142,0.000000,0.000000,0.000071,0.000071
0.076000,0.000142,0.000000,0.000000,0.000071,0.000071
0.077000,0.000142,0.000000,0.000000,0.000107,0.000036
0.078000,0.000178,0.000000,0.000000,0.000071,0.000107
0.079000,0.000249,0.000000,0.000000,0.000107,0.000142
0.080000,0.000178,0.000000,0.000000,0.000142,0.000036
0.081000,0.000178,0.000000,0.000000,0.000107,0.000071
0.082000,0.000071,0.000000,0.000000,0.000071,0.000000
0.083000,0.000107,0.000000,0.000000,0.000036,0.000071
0.084000,0.000213,0.000000,0.000000,0.000107,0.000107
0.085000,0.000071,0.000000,0.000000,0.000036,0.000036
0.086000,0.000142,0.000000,0.000000,0.000036,0.000107
0.087000,0.000071,0.000000,0.000000,0.000000,0.000071
0.088000,0.000178,0.000000,0.000000,0.000107,0.000071
0.089000,0.000107,0.000000,0.000000,0.000071,0.000036
0.091000,0.000071,0.000000,0.000000,0.000036,0.000036
0.092000,0.000036,0.000000,0.000000,0.000000,0.000036
0.108000,0.000036,0.000000,0.000000,0.000036,0.000000
0.111000,0.000036,0.000000,0.000000,0.000000,0.000036
0.136000,0.000036,0.000000,0.000000,0.000000,0.000036
