SemanticExtraction_SignInterpretation_SPAWN->SemanticExtraction_SignInterpretation_START,SemanticExtraction_SignInterpretation_SPAWN->SemanticExtraction_SignInterpretation_START
0.043114,0.043114
0.000726,0.000726
0.048960,0.048960
0.029669,0.029669
0.071719,0.071719
0.055291,0.055291
0.032569,0.032569
0.021430,0.021430
0.063079,0.063079
0.000000,0.000000
0.018917,0.018917
0.049887,0.049887
0.039893,0.039893
0.032260,0.032260
0.000000,0.000000
0.054146,0.054146
0.045268,0.045268
0.055595,0.055595
0.045403,0.045403
0.000000,0.000000
0.044561,0.044561
0.000000,0.000000
0.056061,0.056061
0.000840,0.000840
0.000000,0.000000
0.010098,0.010098
0.055917,0.055917
0.000000,0.000000
0.050820,0.050820
0.015723,0.015723
0.032698,0.032698
0.040754,0.040754
0.042405,0.042405
0.006351,0.006351
0.035836,0.035836
0.009074,0.009074
0.037108,0.037108
0.029264,0.029264
0.020451,0.020451
0.037360,0.037360
0.049406,0.049406
0.014826,0.014826
0.021759,0.021759
0.079167,0.079167
0.041914,0.041914
0.004371,0.004371
0.050667,0.050667
0.007962,0.007962
0.051136,0.051136
0.012941,0.012941
0.008393,0.008393
0.071034,0.071034
0.012041,0.012041
0.032876,0.032876
0.043578,0.043578
0.000000,0.000000
0.045223,0.045223
0.020523,0.020523
0.018059,0.018059
0.012315,0.012315
0.033956,0.033956
0.028452,0.028452
0.020049,0.020049
0.040124,0.040124
0.043262,0.043262
0.023396,0.023396
0.048421,0.048421
0.070093,0.070093
0.046460,0.046460
0.034767,0.034767
0.044033,0.044033
0.087391,0.087391
0.000664,0.000664
0.041907,0.041907
0.013987,0.013987
0.025587,0.025587
0.018242,0.018242
0.079350,0.079350
0.029788,0.029788
0.006638,0.006638
0.009010,0.009010
0.029054,0.029054
0.001565,0.001565
0.012036,0.012036
0.000305,0.000305
0.026057,0.026057
0.084500,0.084500
0.027230,0.027230
0.023700,0.023700
0.014233,0.014233
0.008415,0.008415
0.010684,0.010684
0.068073,0.068073
0.014838,0.014838
0.005970,0.005970
0.045087,0.045087
0.042130,0.042130
0.077320,0.077320
0.066177,0.066177
0.057198,0.057198
0.037859,0.037859
0.082488,0.082488
0.000000,0.000000
0.061797,0.061797
0.036872,0.036872
0.053253,0.053253
0.056306,0.056306
0.034373,0.034373
0.003717,0.003717
0.000000,0.000000
0.074294,0.074294
0.046937,0.046937
0.050316,0.050316
0.021761,0.021761
0.046078,0.046078
0.049040,0.049040
0.022440,0.022440
0.035105,0.035105
0.077712,0.077712
0.012750,0.012750
0.067140,0.067140
0.053255,0.053255
0.045577,0.045577
0.049131,0.049131
0.025094,0.025094
0.040489,0.040489
0.096651,0.096651
0.068858,0.068858
0.054050,0.054050
0.044759,0.044759
0.011295,0.011295
0.015844,0.015844
0.025754,0.025754
0.017787,0.017787
0.049230,0.049230
0.010528,0.010528
0.067447,0.067447
0.002778,0.002778
0.033994,0.033994
0.000000,0.000000
0.013017,0.013017
0.070545,0.070545
0.005264,0.005264
0.044569,0.044569
0.029872,0.029872
0.004772,0.004772
0.018771,0.018771
0.009690,0.009690
0.047312,0.047312
0.030561,0.030561
0.001880,0.001880
0.000000,0.000000
0.056585,0.056585
0.063448,0.063448
0.047948,0.047948
0.038515,0.038515
0.037693,0.037693
0.041013,0.041013
0.023803,0.023803
0.054251,0.054251
0.041527,0.041527
0.000000,0.000000
0.029083,0.029083
0.000717,0.000717
0.046693,0.046693
0.040726,0.040726
0.009538,0.009538
0.049527,0.049527
0.040221,0.040221
0.049707,0.049707
0.051243,0.051243
0.000000,0.000000
0.029906,0.029906
0.033812,0.033812
0.044066,0.044066
0.035819,0.035819
0.017527,0.017527
0.053207,0.053207
0.018872,0.018872
0.059023,0.059023
0.009295,0.009295
0.000000,0.000000
0.039976,0.039976
0.066337,0.066337
0.081043,0.081043
0.000000,0.000000
0.046429,0.046429
0.049623,0.049623
0.035217,0.035217
0.007082,0.007082
0.055030,0.055030
0.019673,0.019673
0.031955,0.031955
0.003831,0.003831
0.001901,0.001901
0.035507,0.035507
0.030759,0.030759
0.005941,0.005941
0.006008,0.006008
0.020435,0.020435
0.034425,0.034425
0.006207,0.006207
0.000000,0.000000
0.012381,0.012381
0.000000,0.000000
0.013736,0.013736
0.027362,0.027362
0.004934,0.004934
0.010069,0.010069
0.003031,0.003031
0.000000,0.000000
0.000099,0.000099
0.000000,0.000000
0.019736,0.019736
0.025083,0.025083
0.000000,0.000000
0.012355,0.012355
0.014019,0.014019
0.019253,0.019253
0.040489,0.040489
0.000000,0.000000
0.000000,0.000000
0.008946,0.008946
0.014434,0.014434
0.063907,0.063907
0.017767,0.017767
0.012975,0.012975
0.000000,0.000000
0.000000,0.000000
0.019417,0.019417
0.000000,0.000000
0.006656,0.006656
0.001040,0.001040
0.000000,0.000000
0.000000,0.000000
0.000491,0.000491
0.000000,0.000000
0.043583,0.043583
0.000000,0.000000
0.002752,0.002752
0.000000,0.000000
0.013157,0.013157
0.000004,0.000004
0.000000,0.000000
0.029135,0.029135
0.016802,0.016802
0.021382,0.021382
0.061527,0.061527
0.000000,0.000000
0.027880,0.027880
0.077949,0.077949
0.080689,0.080689
0.000000,0.000000
0.000000,0.000000
0.058320,0.058320
0.024262,0.024262
0.053585,0.053585
0.058749,0.058749
0.021581,0.021581
0.020947,0.020947
0.000000,0.000000
0.086951,0.086951
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.031182,0.031182
0.006616,0.006616
0.000000,0.000000
0.013220,0.013220
0.021549,0.021549
0.000000,0.000000
0.020908,0.020908
