bin,total,start3=0,start3=1,start3=2,start3=3
0.020000,0.090955,0.013693,0.076068,0.001193,0.000000
0.021000,0.103266,0.015075,0.086683,0.001445,0.000063
0.022000,0.105967,0.012249,0.091206,0.002513,0.000000
0.023000,0.115955,0.011997,0.101570,0.002387,0.000000
0.024000,0.112877,0.010050,0.100377,0.002450,0.000000
0.025000,0.109359,0.007538,0.097990,0.003832,0.000000
0.026000,0.104837,0.004585,0.097739,0.002513,0.000000
0.027000,0.095854,0.003204,0.088945,0.003706,0.000000
0.028000,0.087877,0.002324,0.082161,0.003329,0.000063
0.029000,0.072990,0.001445,0.068530,0.002889,0.000126
0.030000,0.000063,0.000000,0.000063,0.000000,0.000000
