start1->finish3,start1->finish1,finish1->start2,start2->finish2,finish2->start3,start3->finish3,start3
23.491311,0.000000,18.382908,5.108403,0.000000,0.000000,1
27.340985,0.000000,22.512882,0.000000,4.828103,0.000000,3
26.135207,0.000000,21.985973,0.000000,4.149234,0.000000,2
45.465911,0.000000,21.522445,0.000000,17.258352,6.685114,2
50.900739,0.247408,48.677220,1.976111,0.000000,0.000000,3
71.106867,5.491522,48.095378,0.000000,8.669852,8.850115,4
62.348165,0.000000,45.562410,8.850115,0.000000,7.935640,3
104.696829,7.771121,48.666404,7.497341,17.247059,23.514904,8
96.895644,0.000000,48.821660,15.166302,7.350466,25.557216,8
81.765173,7.436556,45.781681,0.179554,0.000000,28.367382,6
106.123108,1.667842,45.900450,28.367382,6.675459,23.511975,6
111.801475,30.166333,34.660643,11.927876,18.171937,16.874686,5
152.762378,0.000000,54.988281,16.874686,0.000000,80.899411,6
187.565440,9.346471,53.546942,11.716694,17.239214,95.716119,7
194.854136,0.000000,58.755478,23.515096,5.444516,107.139046,8
196.210403,0.000000,64.038967,24.780029,19.142683,88.248724,9
194.347884,9.858885,57.615277,33.212960,0.000000,93.660762,10
188.829156,0.000000,89.436397,0.000000,4.771165,94.621594,10
185.715874,0.000000,84.982780,5.333800,11.773343,83.625951,10
191.827499,0.000000,107.700717,0.000000,9.408755,74.718027,10
199.060970,1.892115,113.209526,5.623088,3.947298,74.388943,10
247.390440,28.959612,89.988560,12.792779,0.000000,115.649489,12
242.975625,30.131558,87.789807,31.492674,5.563584,87.998002,14
224.813444,10.296575,91.743303,37.169135,0.000000,85.604431,14
263.010838,3.495579,96.252646,47.483621,3.288343,112.490649,16
253.904510,39.037680,83.754268,18.123057,0.000000,112.989505,14
261.424170,37.070703,99.073137,5.555081,0.000000,119.725249,16
269.424049,36.643551,94.281114,6.441356,0.000000,132.058028,16
298.457644,47.769440,93.658260,0.000000,0.000000,157.029944,19
305.163311,49.872083,98.129304,0.000000,0.000000,157.161924,19
295.807356,37.548892,98.030226,8.333500,0.000000,151.894738,20
292.106430,30.845162,101.944694,9.791176,2.178201,147.347197,19
303.488167,37.056258,97.789178,17.010223,12.186122,139.446386,20
285.196020,46.629048,103.119853,0.000000,3.455615,131.991504,19
279.749516,47.085830,97.735578,9.203524,0.000000,125.724584,19
305.345954,35.525371,112.874880,12.290825,13.665434,130.989444,21
266.621088,5.701149,123.050640,28.276735,0.000000,109.592564,16
270.025711,9.943958,128.231425,23.247723,22.313944,86.288661,15
257.503873,14.138764,125.881585,23.643813,3.842578,89.997133,11
255.586587,12.246731,127.682481,43.599468,2.936604,69.121303,12
236.972923,13.625831,113.036834,44.744507,0.000000,65.565751,11
237.382097,12.186122,131.188636,38.732029,0.000000,55.275310,11
244.574538,21.475825,117.970561,40.252942,0.000000,64.875210,13
252.255154,14.394070,123.989653,37.271522,2.240961,74.358948,13
246.721070,27.367768,113.013637,32.898185,0.000000,73.441480,13
247.696375,33.832119,108.562318,34.752250,14.104097,56.445591,12
228.072823,30.345259,124.617106,8.875263,8.708263,55.526932,11
235.933298,33.691332,105.510052,28.252826,0.000000,68.479088,13
241.314656,58.973895,79.330626,33.790005,22.655586,46.564544,13
158.947992,2.187513,96.088717,16.569990,0.000000,44.101772,10
158.890794,12.363753,90.750672,13.376790,0.000000,42.399579,10
161.165673,2.240961,98.053993,4.664285,0.000000,56.206434,9
166.957918,0.000000,83.926478,20.342857,0.000000,62.688583,10
