SemanticExtraction_SignInterpretation_SPAWN->SemanticExtraction_SignInterpretation_START,SemanticExtraction_SignInterpretation_SPAWN->SemanticExtraction_SignInterpretation_START
0.039237,0.039237
0.005652,0.005652
0.025139,0.025139
0.042382,0.042382
0.012659,0.012659
0.021304,0.021304
0.012815,0.012815
0.018291,0.018291
0.002480,0.002480
0.037203,0.037203
0.000000,0.000000
0.024430,0.024430
0.002046,0.002046
0.000000,0.000000
0.019953,0.019953
0.031500,0.031500
0.000000,0.000000
0.005015,0.005015
0.045640,0.045640
0.012370,0.012370
0.036440,0.036440
0.000000,0.000000
0.000000,0.000000
0.038576,0.038576
0.038142,0.038142
0.025220,0.025220
0.027623,0.027623
0.049105,0.049105
0.009329,0.009329
0.012100,0.012100
0.000000,0.000000
0.000000,0.000000
0.000016,0.000016
0.018345,0.018345
0.008204,0.008204
0.000000,0.000000
0.000000,0.000000
0.080366,0.080366
0.047654,0.047654
0.024512,0.024512
0.008311,0.008311
0.000000,0.000000
0.004835,0.004835
0.000000,0.000000
0.026681,0.026681
0.014153,0.014153
0.000000,0.000000
0.001593,0.001593
0.005837,0.005837
0.000000,0.000000
0.063033,0.063033
0.008873,0.008873
0.000000,0.000000
0.000000,0.000000
0.011747,0.011747
0.003846,0.003846
0.000000,0.000000
0.000000,0.000000
0.001792,0.001792
0.056906,0.056906
0.013154,0.013154
0.046912,0.046912
0.089878,0.089878
0.076571,0.076571
0.029626,0.029626
0.017312,0.017312
0.001528,0.001528
0.000000,0.000000
0.047451,0.047451
0.000000,0.000000
0.000000,0.000000
0.026148,0.026148
0.000000,0.000000
0.025843,0.025843
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.006229,0.006229
0.000000,0.000000
0.000000,0.000000
0.034774,0.034774
0.004785,0.004785
0.000000,0.000000
0.006201,0.006201
0.000000,0.000000
0.019722,0.019722
0.015024,0.015024
0.000000,0.000000
0.010510,0.010510
0.000000,0.000000
0.021593,0.021593
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.009675,0.009675
0.023693,0.023693
0.000000,0.000000
0.071834,0.071834
0.004467,0.004467
0.000000,0.000000
0.008407,0.008407
0.000000,0.000000
0.010403,0.010403
0.005460,0.005460
0.013099,0.013099
0.022674,0.022674
0.000000,0.000000
0.003336,0.003336
0.000000,0.000000
0.004897,0.004897
0.059181,0.059181
0.017304,0.017304
0.000000,0.000000
0.076130,0.076130
0.011870,0.011870
0.000000,0.000000
0.000000,0.000000
0.010275,0.010275
0.000000,0.000000
0.000000,0.000000
0.017243,0.017243
0.000000,0.000000
0.079797,0.079797
0.058293,0.058293
0.010287,0.010287
0.019555,0.019555
0.000000,0.000000
0.005384,0.005384
0.073402,0.073402
0.000000,0.000000
0.023108,0.023108
0.000000,0.000000
0.028033,0.028033
0.023751,0.023751
0.000000,0.000000
0.000000,0.000000
0.004527,0.004527
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.064457,0.064457
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.011977,0.011977
0.009466,0.009466
0.008183,0.008183
0.021098,0.021098
0.000000,0.000000
0.012215,0.012215
0.022346,0.022346
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.024030,0.024030
0.005393,0.005393
0.000000,0.000000
0.064013,0.064013
0.000000,0.000000
0.000592,0.000592
0.044593,0.044593
0.017150,0.017150
0.012742,0.012742
0.026196,0.026196
0.000154,0.000154
0.065199,0.065199
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.046639,0.046639
0.000000,0.000000
0.000000,0.000000
0.061502,0.061502
0.007867,0.007867
0.000000,0.000000
0.000000,0.000000
0.001082,0.001082
0.069200,0.069200
0.000000,0.000000
0.005292,0.005292
0.000000,0.000000
0.035010,0.035010
0.009424,0.009424
0.000000,0.000000
0.000000,0.000000
0.029063,0.029063
0.000000,0.000000
0.006131,0.006131
0.002959,0.002959
0.015609,0.015609
0.000000,0.000000
0.000000,0.000000
0.015948,0.015948
0.031973,0.031973
0.000000,0.000000
0.001176,0.001176
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
