bin,total,Camera1_FINISH->Perception_CameraPerception_START,Camera1_START->Camera1_FINISH,CollisionAlert_START->CollisionAlert_FINISH,CollisionDetection_BrakingDecision_FINISH->CollisionAlert_START,CollisionDetection_BrakingDecision_START->CollisionDetection_BrakingDecision_FINISH,CollisionDetection_TimeToCollision_FINISH->CollisionDetection_BrakingDecision_START,CollisionDetection_TimeToCollision_START->CollisionDetection_TimeToCollision_FINISH,Perception_CameraPerception_FINISH->Perception_Fusion_START,Perception_CameraPerception_START->Perception_CameraPerception_FINISH,Perception_Fusion_FINISH->SemanticExtraction_ObjectDetection_START,Perception_Fusion_START->Perception_Fusion_FINISH,SemanticExtraction_ObjectDetection_FINISH->SemanticExtraction_Prediction_START,SemanticExtraction_ObjectDetection_START->SemanticExtraction_ObjectDetection_FINISH,SemanticExtraction_Prediction_FINISH->CollisionDetection_TimeToCollision_START,SemanticExtraction_Prediction_START->SemanticExtraction_Prediction_FINISH
0.500000,0.002372,0.000404,0.000026,0.000009,0.000000,0.000031,0.000000,0.000156,0.000400,0.000044,0.000000,0.000133,0.000133,0.000213,0.000777,0.000047
0.501000,0.005931,0.001133,0.000058,0.000023,0.000000,0.000056,0.000048,0.000368,0.001002,0.000118,0.000010,0.000287,0.000151,0.000598,0.001964,0.000115
0.502000,0.004152,0.000731,0.000033,0.000018,0.000000,0.000035,0.000022,0.000259,0.000724,0.000076,0.000000,0.000223,0.000201,0.000457,0.001287,0.000085
0.503000,0.001779,0.000417,0.000014,0.000007,0.000000,0.000017,0.000023,0.000099,0.000216,0.000033,0.000014,0.000078,0.000086,0.000189,0.000552,0.000034
0.504000,0.004745,0.000915,0.000050,0.000020,0.000000,0.000048,0.000072,0.000285,0.000744,0.000082,0.000003,0.000238,0.000150,0.000474,0.001566,0.000098
0.505000,0.002966,0.000523,0.000026,0.000014,0.000000,0.000036,0.000028,0.000175,0.000506,0.000065,0.000000,0.000167,0.000145,0.000272,0.000951,0.000058
0.506000,0.002966,0.000545,0.000031,0.000011,0.000000,0.000031,0.000024,0.000194,0.000471,0.000064,0.000000,0.000118,0.000142,0.000332,0.000946,0.000057
0.507000,0.004152,0.000861,0.000040,0.000018,0.000000,0.000040,0.000048,0.000230,0.000635,0.000095,0.000017,0.000215,0.000126,0.000393,0.001351,0.000082
0.508000,0.002966,0.000561,0.000035,0.000012,0.000000,0.000030,0.000023,0.000170,0.000484,0.000056,0.000000,0.000151,0.000091,0.000316,0.000974,0.000061
0.509000,0.001779,0.000371,0.000019,0.000006,0.000000,0.000013,0.000012,0.000106,0.000283,0.000037,0.000000,0.000095,0.000056,0.000197,0.000550,0.000035
0.510000,0.004745,0.000838,0.000050,0.000019,0.000000,0.000048,0.000036,0.000299,0.000825,0.000092,0.000015,0.000226,0.000188,0.000521,0.001495,0.000094
0.511000,0.002966,0.000578,0.000024,0.000015,0.000000,0.000030,0.000034,0.000181,0.000523,0.000065,0.000000,0.000163,0.000061,0.000293,0.000940,0.000060
0.512000,0.002966,0.000563,0.000032,0.000010,0.000000,0.000027,0.000010,0.000194,0.000458,0.000056,0.000007,0.000141,0.000059,0.000354,0.000996,0.000059
0.513000,0.003559,0.000631,0.000029,0.000012,0.000000,0.000037,0.000026,0.000214,0.000574,0.000073,0.000021,0.000189,0.000132,0.000365,0.001188,0.000069
0.514000,0.001779,0.000359,0.000023,0.000007,0.000000,0.000019,0.000000,0.000095,0.000261,0.000033,0.000000,0.000097,0.000084,0.000196,0.000571,0.000034
0.515000,0.002372,0.000420,0.000023,0.000010,0.000000,0.000028,0.000014,0.000153,0.000404,0.000048,0.000000,0.000127,0.000089,0.000239,0.000774,0.000045
0.516000,0.002372,0.000499,0.000027,0.000010,0.000000,0.000031,0.000011,0.000138,0.000356,0.000050,0.000000,0.000114,0.000073,0.000251,0.000770,0.000043
0.517000,0.001186,0.000198,0.000017,0.000005,0.000000,0.000006,0.000011,0.000074,0.000207,0.000027,0.000000,0.000067,0.000036,0.000105,0.000412,0.000021
0.518000,0.002966,0.000566,0.000027,0.000013,0.000000,0.000027,0.000022,0.000169,0.000479,0.000056,0.000010,0.000162,0.000105,0.000304,0.000969,0.000058
0.519000,0.001779,0.000363,0.000017,0.000006,0.000000,0.000021,0.000000,0.000107,0.000290,0.000024,0.000000,0.000080,0.000073,0.000204,0.000561,0.000034
0.520000,0.001779,0.000347,0.000019,0.000008,0.000000,0.000016,0.000011,0.000110,0.000301,0.000030,0.000000,0.000085,0.000110,0.000187,0.000520,0.000035
0.521000,0.001779,0.000355,0.000020,0.000006,0.000000,0.000017,0.000011,0.000107,0.000301,0.000040,0.000000,0.000094,0.000049,0.000195,0.000550,0.000034
0.522000,0.000593,0.000107,0.000010,0.000003,0.000000,0.000007,0.000012,0.000037,0.000095,0.000010,0.000000,0.000026,0.000033,0.000057,0.000185,0.000010
0.523000,0.001779,0.000361,0.000015,0.000005,0.000000,0.000019,0.000000,0.000107,0.000277,0.000034,0.000000,0.000089,0.000041,0.000221,0.000573,0.000037
0.524000,0.001779,0.000331,0.000021,0.000010,0.000000,0.000017,0.000000,0.000104,0.000290,0.000030,0.000012,0.000099,0.000064,0.000188,0.000577,0.000036
0.526000,0.001779,0.000340,0.000018,0.000007,0.000000,0.000020,0.000010,0.000118,0.000315,0.000024,0.000000,0.000089,0.000043,0.000209,0.000553,0.000033
0.527000,0.000593,0.000127,0.000008,0.000004,0.000000,0.000008,0.000000,0.000030,0.000097,0.000015,0.000000,0.000027,0.000021,0.000068,0.000176,0.000011
0.529000,0.000593,0.000121,0.000008,0.000003,0.000000,0.000007,0.000013,0.000038,0.000096,0.000006,0.000000,0.000028,0.000008,0.000061,0.000194,0.000010
0.531000,0.001779,0.000360,0.000018,0.000007,0.000000,0.000019,0.000011,0.000118,0.000283,0.000039,0.000000,0.000089,0.000060,0.000161,0.000577,0.000039
0.532000,0.001186,0.000241,0.000008,0.000004,0.000000,0.000013,0.000024,0.000071,0.000216,0.000021,0.000000,0.000054,0.000025,0.000135,0.000353,0.000022
0.533000,0.001779,0.000318,0.000017,0.000006,0.000000,0.000014,0.000010,0.000110,0.000318,0.000040,0.000000,0.000079,0.000032,0.000203,0.000600,0.000032
0.535000,0.001779,0.000371,0.000020,0.000007,0.000000,0.000019,0.000000,0.000102,0.000280,0.000035,0.000000,0.000094,0.000093,0.000170,0.000556,0.000033
0.537000,0.000593,0.000071,0.000005,0.000002,0.000000,0.000008,0.000011,0.000044,0.000107,0.000011,0.000000,0.000029,0.000021,0.000063,0.000210,0.000010
0.540000,0.000593,0.000120,0.000008,0.000004,0.000000,0.000006,0.000000,0.000041,0.000085,0.000011,0.000000,0.000027,0.000027,0.000056,0.000196,0.000012
0.542000,0.000593,0.000130,0.000005,0.000003,0.000000,0.000003,0.000012,0.000034,0.000093,0.000013,0.000000,0.000027,0.000020,0.000052,0.000189,0.000012
0.545000,0.000593,0.000107,0.000005,0.000002,0.000000,0.000009,0.000000,0.000036,0.000117,0.000009,0.000000,0.000036,0.000004,0.000061,0.000196,0.000009
0.549000,0.000593,0.000108,0.000006,0.000001,0.000000,0.000009,0.000000,0.000039,0.000099,0.000007,0.000000,0.000031,0.000032,0.000057,0.000196,0.000009
0.553000,0.000593,0.000121,0.000004,0.000002,0.000000,0.000007,0.000000,0.000035,0.000083,0.000014,0.000013,0.000032,0.000039,0.000070,0.000161,0.000011
