Camera1_START->Braking_FINISH,Camera1_START->Camera1_FINISH,Camera1_FINISH->Perception_CameraPerception_START,Perception_CameraPerception_START->Perception_CameraPerception_FINISH,Perception_CameraPerception_FINISH->Perception_Fusion_START,Perception_Fusion_START->Perception_Fusion_FINISH,Perception_Fusion_FINISH->SemanticExtraction_ObjectDetection_START,SemanticExtraction_ObjectDetection_START->SemanticExtraction_ObjectDetection_FINISH,SemanticExtraction_ObjectDetection_FINISH->SemanticExtraction_Prediction_START,SemanticExtraction_Prediction_START->SemanticExtraction_Prediction_FINISH,SemanticExtraction_Prediction_FINISH->CollisionDetection_TimeToCollision_START,CollisionDetection_TimeToCollision_START->CollisionDetection_TimeToCollision_FINISH,CollisionDetection_TimeToCollision_FINISH->CollisionDetection_BrakingDecision_START,CollisionDetection_BrakingDecision_START->CollisionDetection_BrakingDecision_FINISH,CollisionDetection_BrakingDecision_FINISH->Braking_START,Braking_START->Braking_FINISH,Perception_CameraPerception_START,Perception_Fusion_START,SemanticExtraction_ObjectDetection_START,SemanticExtraction_Prediction_START,CollisionDetection_TimeToCollision_START,CollisionDetection_BrakingDecision_START,Braking_START
0.414281,0.002118,0.079360,0.013808,0.007755,0.021494,0.000000,0.065415,0.022864,0.009804,0.142966,0.031151,0.000000,0.007243,0.000000,0.010303,0,1,1,2,1,2,2
0.468403,0.004323,0.117027,0.007942,0.012746,0.019571,0.000000,0.061846,0.015597,0.009517,0.165695,0.027995,0.009685,0.003542,0.000000,0.012917,0,1,1,2,2,2,2
0.419509,0.007624,0.076075,0.008284,0.017651,0.021930,0.000000,0.053170,0.027475,0.009685,0.152718,0.022251,0.010726,0.003841,0.000000,0.008079,0,1,1,2,1,2,2
0.408851,0.005798,0.083592,0.012975,0.002065,0.025045,0.000000,0.050907,0.017021,0.010726,0.149733,0.024120,0.010229,0.003809,0.000000,0.012831,0,1,1,2,1,2,2
0.439094,0.003059,0.102490,0.012811,0.093084,0.029336,0.000000,0.054554,0.000000,0.009135,0.085379,0.034499,0.000000,0.004986,0.000000,0.009761,0,2,2,3,1,2,2
0.338037,0.006546,0.080464,0.006631,0.010947,0.022981,0.000000,0.048325,0.000000,0.011224,0.104734,0.031544,0.000000,0.004260,0.000000,0.010381,0,1,1,1,1,1,1
0.345701,0.002441,0.092997,0.008403,0.010864,0.027484,0.000000,0.066435,0.000000,0.008693,0.079567,0.034427,0.000000,0.004513,0.000000,0.009877,0,1,1,1,1,1,1
0.531737,0.003677,0.103408,0.010706,0.100694,0.032002,0.000000,0.046885,0.019999,0.009986,0.163284,0.025473,0.000000,0.005124,0.000000,0.010499,0,2,2,3,2,2,2
0.520707,0.001932,0.104999,0.010701,0.106698,0.018286,0.000000,0.052775,0.029109,0.010188,0.147218,0.026726,0.000000,0.003234,0.000000,0.008841,1,2,2,2,2,2,2
0.432413,0.003343,0.096298,0.012078,0.000455,0.028902,0.000000,0.053460,0.019110,0.008598,0.172400,0.026678,0.000000,0.004170,0.000000,0.006921,0,1,1,2,1,2,2
0.410653,0.004360,0.062842,0.010427,0.010349,0.028443,0.000000,0.065531,0.011000,0.010135,0.162781,0.031794,0.000000,0.004623,0.000000,0.008368,0,0,1,1,1,1,1
0.342375,0.008757,0.095512,0.009244,0.012288,0.032118,0.000000,0.046232,0.000000,0.011521,0.076736,0.035543,0.000000,0.004025,0.000000,0.010399,1,1,1,1,1,1,1
0.337755,0.007822,0.095790,0.010003,0.014207,0.024054,0.000000,0.058420,0.000000,0.011434,0.064519,0.024477,0.010676,0.006478,0.000000,0.009875,1,1,1,2,1,1,1
0.462492,0.004756,0.095646,0.009478,0.018574,0.024657,0.000000,0.057480,0.000529,0.010676,0.188778,0.034851,0.000000,0.008394,0.000000,0.008673,1,1,1,1,1,2,2
0.448697,0.006636,0.103511,0.013647,0.006983,0.019330,0.000000,0.066973,0.041769,0.010272,0.140374,0.022990,0.000000,0.005363,0.000000,0.010849,1,1,1,2,1,2,2
0.345134,0.007003,0.097195,0.010679,0.020859,0.026709,0.000000,0.039217,0.000000,0.008374,0.087656,0.030418,0.000000,0.008881,0.000000,0.008143,1,1,1,2,1,1,1
0.423205,0.004894,0.077074,0.009464,0.013354,0.034929,0.000000,0.057145,0.007503,0.009567,0.154292,0.028613,0.009734,0.006035,0.000000,0.010601,0,1,1,1,1,2,2
0.417880,0.004858,0.077497,0.013237,0.003785,0.033449,0.000000,0.059163,0.005865,0.009734,0.156717,0.031724,0.008548,0.003390,0.000000,0.009913,0,1,1,2,1,1,2
0.421797,0.005452,0.084101,0.007302,0.006703,0.026114,0.000000,0.043523,0.025908,0.008548,0.163469,0.023651,0.009539,0.007045,0.000000,0.010442,0,1,1,2,1,2,2
0.425405,0.006841,0.091124,0.011376,0.002935,0.029291,0.000000,0.032701,0.022965,0.009539,0.171697,0.029452,0.000000,0.006718,0.000000,0.010766,0,1,1,2,1,2,2
0.452415,0.002733,0.121116,0.013653,0.003486,0.033192,0.000000,0.059983,0.013647,0.010530,0.146617,0.028569,0.000000,0.005953,0.000000,0.012936,1,1,1,2,2,2,2
0.404068,0.002946,0.069038,0.010907,0.029755,0.028186,0.000000,0.059403,0.009377,0.009684,0.147643,0.023892,0.000000,0.002272,0.000000,0.010965,0,1,1,2,1,2,2
0.425399,0.007004,0.073576,0.011623,0.017710,0.023364,0.000000,0.042340,0.018948,0.010234,0.168169,0.029768,0.009354,0.002469,0.000000,0.010840,0,1,1,2,1,2,2
0.425933,0.004227,0.094427,0.008881,0.009348,0.023334,0.000000,0.054495,0.009674,0.009354,0.157095,0.028531,0.008697,0.005641,0.000000,0.012229,0,1,1,1,1,1,1
0.432777,0.006490,0.105872,0.005077,0.004153,0.017359,0.000000,0.041043,0.023107,0.008697,0.166683,0.035069,0.000000,0.006366,0.000000,0.012861,0,1,1,2,1,2,2
0.507380,0.004839,0.067326,0.011536,0.099515,0.032555,0.000000,0.040399,0.030095,0.010273,0.174183,0.021853,0.000000,0.006415,0.000000,0.008391,0,1,2,2,2,2,2
0.345356,0.005812,0.090411,0.010437,0.013943,0.029716,0.000000,0.046653,0.000000,0.008636,0.090016,0.034090,0.000000,0.004828,0.000000,0.010814,1,1,1,2,1,1,1
0.451652,0.008285,0.097899,0.009674,0.005941,0.024275,0.000000,0.056456,0.033047,0.010836,0.162285,0.028382,0.000000,0.005549,0.000000,0.009023,0,1,1,1,2,2,2
0.335281,0.007035,0.103755,0.010408,0.098091,0.020773,0.000000,0.040488,0.000000,0.009657,0.000000,0.026601,0.000000,0.007565,0.000000,0.010908,0,2,2,2,1,1,1
0.351573,0.006059,0.089636,0.006278,0.027599,0.019357,0.000000,0.060244,0.000000,0.009973,0.089809,0.029356,0.000000,0.005100,0.000000,0.008162,1,1,1,1,1,1,1
