start1->finish3,start1->finish1,finish1->start2,start2->finish2,finish2->start3,start3->finish3,start3
0.133937,0.014111,0.022961,0.022007,0.040263,0.034595,2
0.134496,0.011053,0.014045,0.026883,0.048029,0.034486,1
0.145224,0.015576,0.012814,0.028207,0.055074,0.033553,2
0.129741,0.015546,0.044754,0.022108,0.009528,0.037805,1
0.134995,0.014177,0.001751,0.027177,0.054979,0.036911,1
0.103512,0.011465,0.002567,0.024020,0.033196,0.032264,1
0.133031,0.012335,0.033925,0.024771,0.024618,0.037382,2
0.112201,0.019249,0.012934,0.021273,0.018906,0.039839,1
0.123968,0.017447,0.024408,0.029475,0.016625,0.036013,1
0.174040,0.011345,0.030177,0.025337,0.067352,0.039829,1
0.139451,0.010826,0.032788,0.022505,0.039308,0.034024,2
0.125640,0.011750,0.027551,0.028949,0.017961,0.039429,1
0.091357,0.015446,0.011168,0.024673,0.005233,0.034837,1
0.132127,0.016359,0.024792,0.024821,0.027582,0.038573,2
0.149631,0.019750,0.059316,0.021088,0.011293,0.038184,2
0.130969,0.015271,0.038662,0.026745,0.014051,0.036240,2
0.143885,0.015480,0.032448,0.026535,0.030143,0.039279,1
0.128757,0.016027,0.008909,0.021751,0.045802,0.036268,1
0.157474,0.016793,0.003676,0.027754,0.072485,0.036766,1
0.094848,0.018221,0.002005,0.027655,0.008587,0.038380,1
0.088821,0.011460,0.013853,0.022675,0.003254,0.037579,1
0.118286,0.016753,0.004032,0.027772,0.034823,0.034906,1
0.118516,0.011336,0.008235,0.020167,0.039989,0.038789,1
0.154680,0.019845,0.001107,0.023343,0.072200,0.038185,1
0.075726,0.016754,0.001529,0.022756,0.002494,0.032193,1
0.100168,0.012655,0.006066,0.022640,0.021504,0.037303,1
0.109349,0.018182,0.007979,0.022402,0.022951,0.037835,1
0.125593,0.012457,0.010028,0.025951,0.039586,0.037571,1
0.144465,0.019555,0.042547,0.026289,0.016229,0.039845,1
0.129417,0.016004,0.012480,0.026463,0.041814,0.032656,1
0.117023,0.014322,0.015769,0.022813,0.030448,0.033671,2
0.156470,0.014152,0.026060,0.027061,0.053889,0.035308,2
0.124554,0.014646,0.028367,0.024033,0.023835,0.033673,1
0.134974,0.012815,0.038202,0.024882,0.020788,0.038287,2
0.146787,0.014617,0.037395,0.027943,0.027608,0.039224,1
0.131174,0.015987,0.016537,0.021327,0.039530,0.037793,1
0.128703,0.018391,0.009532,0.028087,0.034450,0.038243,1
0.105531,0.010831,0.004179,0.027764,0.029118,0.033639,1
0.134683,0.013687,0.029364,0.024203,0.032207,0.035222,1
0.145935,0.015810,0.027502,0.025913,0.037378,0.039332,2
0.123921,0.014471,0.007118,0.026391,0.042532,0.033409,2
0.126169,0.010651,0.006884,0.028388,0.044822,0.035424,1
0.128526,0.013403,0.026854,0.027093,0.028488,0.032688,2
0.137944,0.013337,0.008927,0.022129,0.060125,0.033426,1
0.155049,0.016711,0.009597,0.028529,0.060772,0.039440,1
0.143623,0.015967,0.037977,0.020051,0.032230,0.037398,2
0.133899,0.018468,0.030727,0.029049,0.021291,0.034364,2
0.143214,0.014325,0.029653,0.021432,0.042409,0.035395,2
0.130119,0.011778,0.024881,0.024846,0.031831,0.036783,1
0.123349,0.010867,0.028036,0.026617,0.025051,0.032778,2
0.125080,0.016058,0.011420,0.020382,0.039075,0.038145,1
0.141279,0.015934,0.036822,0.024127,0.027256,0.037140,1
0.130886,0.011610,0.015540,0.028808,0.038802,0.036126,1
0.092146,0.014634,0.011194,0.024182,0.004739,0.037397,1
0.080985,0.012328,0.011754,0.020786,0.001824,0.034293,1
0.089545,0.010524,0.008454,0.026199,0.006687,0.037681,0
0.144045,0.012719,0.029350,0.029399,0.040637,0.031940,2
0.118538,0.017226,0.002505,0.029072,0.030857,0.038878,1
0.089531,0.013262,0.001004,0.020996,0.019989,0.034280,1
0.090552,0.018071,0.006303,0.027267,0.005741,0.033170,1
0.121889,0.012803,0.030776,0.023454,0.022235,0.032621,0
0.123813,0.015810,0.017858,0.026756,0.030748,0.032641,2
0.143668,0.012742,0.045116,0.021787,0.028439,0.035584,3
0.137917,0.012394,0.014814,0.020327,0.052873,0.037509,1
0.101107,0.017970,0.010924,0.022733,0.016059,0.033421,1
0.136337,0.015736,0.003163,0.025496,0.054845,0.037097,2
0.130951,0.013744,0.031513,0.022841,0.028108,0.034745,1
0.240211,0.017861,0.055977,0.027330,0.100905,0.038138,3
0.103088,0.014580,0.012428,0.020126,0.021653,0.034301,1
0.140397,0.017747,0.050938,0.024921,0.009530,0.037261,3
0.130021,0.012418,0.006859,0.027987,0.047638,0.035119,2
0.125400,0.016313,0.005573,0.026198,0.045471,0.031845,1
0.135329,0.018900,0.002625,0.026829,0.049172,0.037803,1
0.088233,0.016188,0.001929,0.027500,0.006341,0.036275,1
