start1->finish3,start1->finish1,finish1->start2,start2->finish2,finish2->start3,start3->finish3,start3
0.186714,0.011664,0.000000,0.024685,0.113665,0.036700,1
0.080654,0.011948,0.000000,0.028976,0.000000,0.039730,1
0.135290,0.011895,0.034632,0.025351,0.024766,0.038646,4
0.211784,0.015345,0.080945,0.020873,0.055740,0.038881,2
0.182356,0.017381,0.067986,0.029211,0.035664,0.032114,3
0.096770,0.017468,0.000000,0.021162,0.027556,0.030584,1
0.108355,0.018383,0.000000,0.025441,0.025497,0.039034,0
0.138861,0.018805,0.029697,0.020783,0.030242,0.039334,2
0.172789,0.011446,0.028435,0.027201,0.072541,0.033166,1
0.087287,0.016710,0.000000,0.020733,0.012401,0.037443,2
0.140350,0.019778,0.014862,0.021729,0.044127,0.039854,2
0.198998,0.016012,0.045989,0.026187,0.075018,0.035792,1
0.161035,0.018469,0.056056,0.020000,0.034746,0.031764,3
0.149421,0.020000,0.016285,0.028434,0.045437,0.039265,4
0.150932,0.012936,0.033771,0.027200,0.042429,0.034596,2
0.083324,0.015836,0.000000,0.029959,0.000000,0.037529,1
0.118829,0.015490,0.000000,0.025793,0.042120,0.035426,1
0.080128,0.012010,0.002280,0.025120,0.000976,0.039742,0
0.112882,0.013475,0.022828,0.026010,0.014450,0.036119,1
0.146522,0.018571,0.027536,0.021878,0.045572,0.032965,2
0.131855,0.013967,0.032965,0.030000,0.021440,0.033483,2
0.157869,0.010015,0.047541,0.022703,0.043890,0.033720,1
0.164137,0.019951,0.024582,0.030000,0.051171,0.038433,2
0.134955,0.011272,0.052405,0.028580,0.009104,0.033594,2
0.104017,0.018367,0.002068,0.023714,0.026095,0.033773,1
0.197962,0.017948,0.118315,0.024105,0.006547,0.031047,3
0.275156,0.017440,0.114972,0.023020,0.081600,0.038124,3
0.068591,0.015075,0.000000,0.023049,0.000000,0.030467,1
0.088607,0.011848,0.000000,0.029664,0.015785,0.031310,2
0.112582,0.010222,0.020880,0.026215,0.019920,0.035345,1
0.084875,0.013224,0.014080,0.026539,0.000000,0.031032,1
0.147450,0.016691,0.011000,0.027266,0.062415,0.030078,1
0.080821,0.013726,0.005212,0.022258,0.007504,0.032121,1
0.155091,0.018283,0.035700,0.022902,0.039330,0.038876,2
0.096175,0.013393,0.000000,0.020000,0.027614,0.035168,1
0.132197,0.020000,0.027614,0.021135,0.032553,0.030895,2
0.121871,0.014033,0.037661,0.021001,0.010873,0.038303,1
0.111353,0.011754,0.009247,0.028706,0.029093,0.032553,1
0.171167,0.010816,0.083270,0.020226,0.026171,0.030684,2
0.229658,0.016127,0.020185,0.026866,0.136480,0.030000,2
0.130807,0.016519,0.029940,0.030000,0.021559,0.032789,2
0.138437,0.015847,0.039204,0.027153,0.018472,0.037761,3
0.147571,0.015099,0.073923,0.021911,0.006053,0.030585,3
0.128836,0.012743,0.027170,0.026967,0.023369,0.038587,1
0.087801,0.017902,0.009959,0.022533,0.000000,0.037407,1
0.160325,0.010161,0.003546,0.024255,0.092363,0.030000,1
0.081878,0.017400,0.000000,0.030000,0.000000,0.034478,2
0.116688,0.014907,0.000000,0.030000,0.035843,0.035938,3
0.091930,0.010514,0.000000,0.020840,0.030576,0.030000,1
0.229240,0.011767,0.023416,0.022815,0.138611,0.032631,2
0.083852,0.012576,0.018361,0.020399,0.000000,0.032516,2
0.204644,0.018170,0.050603,0.020000,0.078603,0.037268,2
0.102403,0.016841,0.007039,0.029953,0.017615,0.030955,2
0.171657,0.014086,0.048570,0.024980,0.052593,0.031428,2
0.121938,0.010286,0.045765,0.029146,0.005331,0.031410,2
0.131185,0.011617,0.039099,0.021266,0.026684,0.032519,2
0.114718,0.016640,0.000000,0.029974,0.037349,0.030755,0
0.091527,0.013942,0.005633,0.027798,0.007345,0.036809,1
0.176767,0.016139,0.085013,0.023229,0.013337,0.039049,2
0.233345,0.013883,0.121780,0.023041,0.039536,0.035105,4
0.194122,0.011632,0.086076,0.023747,0.042667,0.030000,2
0.116254,0.014826,0.027841,0.030000,0.008046,0.035541,1
0.101327,0.017842,0.024506,0.020550,0.000000,0.038429,1
0.081139,0.019772,0.000000,0.030000,0.000000,0.031367,2
0.132007,0.018160,0.010357,0.022935,0.047158,0.033397,2
0.099852,0.014656,0.000000,0.029821,0.022653,0.032722,1
0.109428,0.010315,0.009960,0.029381,0.024404,0.035368,1
0.085575,0.015909,0.000000,0.028371,0.008818,0.032477,1
0.123101,0.015430,0.009265,0.024605,0.038642,0.035159,1
0.199333,0.012812,0.089941,0.028263,0.037874,0.030443,3
0.109921,0.015102,0.005788,0.029816,0.020151,0.039064,1
0.137846,0.013495,0.030443,0.020761,0.033542,0.039605,2
0.130648,0.010272,0.014060,0.026980,0.039615,0.039721,1
0.137689,0.019748,0.043706,0.026211,0.013807,0.034217,2
0.170219,0.017812,0.022206,0.021991,0.075222,0.032988,1
0.119562,0.019376,0.018721,0.026546,0.016638,0.038281,2
0.159115,0.013814,0.086401,0.028576,0.000000,0.030324,2
0.279611,0.019977,0.125324,0.020166,0.083230,0.030914,4
0.228614,0.014420,0.151176,0.024903,0.006901,0.031214,4
0.228274,0.016298,0.114144,0.025228,0.040506,0.032098,3
0.213305,0.012694,0.057965,0.026204,0.083912,0.032530,2
0.178769,0.016812,0.067100,0.020811,0.034305,0.039741,2
0.161734,0.010374,0.100119,0.020000,0.000000,0.031241,1
0.136775,0.020000,0.027587,0.020000,0.029541,0.039647,4
0.163147,0.019180,0.055506,0.021021,0.032246,0.035194,4
0.142814,0.018579,0.021068,0.020015,0.043169,0.039983,2
0.129965,0.014067,0.020059,0.022661,0.041512,0.031666,2
0.145721,0.014742,0.020774,0.020282,0.050873,0.039050,1
0.143233,0.010997,0.037432,0.028322,0.033809,0.032673,2
0.100475,0.013274,0.000000,0.028046,0.019490,0.039665,1
0.142157,0.014150,0.050260,0.024660,0.014433,0.038654,1
0.099979,0.010595,0.024660,0.026246,0.008433,0.030045,1
0.176442,0.011813,0.106164,0.028465,0.000000,0.030000,4
0.185775,0.014202,0.081949,0.030000,0.019909,0.039715,3
0.179545,0.010325,0.019838,0.029809,0.088795,0.030778,2
0.102736,0.016949,0.012916,0.022871,0.020000,0.030000,0
