bin,total,start3=0,start3=1,start3=2,start3=3,start3=4,start3=5,start3=6,start3=7
0.030000,0.209052,0.013131,0.092338,0.073793,0.023573,0.005064,0.000908,0.000175,0.000070
0.031000,0.093246,0.007159,0.041349,0.033736,0.009429,0.001222,0.000349,0.000000,0.000000
0.032000,0.091395,0.006670,0.039883,0.033457,0.009185,0.001781,0.000314,0.000105,0.000000
0.033000,0.079241,0.005448,0.036076,0.026786,0.009045,0.001606,0.000244,0.000035,0.000000
0.034000,0.077845,0.005413,0.033666,0.028742,0.008417,0.001292,0.000314,0.000000,0.000000
0.035000,0.079521,0.005378,0.035587,0.028463,0.008277,0.001502,0.000314,0.000000,0.000000
0.036000,0.078857,0.005762,0.034120,0.028498,0.008521,0.001676,0.000279,0.000000,0.000000
0.037000,0.078613,0.005029,0.035378,0.027869,0.008417,0.001816,0.000105,0.000000,0.000000
0.038000,0.088671,0.006461,0.039708,0.031082,0.009744,0.001362,0.000279,0.000035,0.000000
0.039000,0.119753,0.008556,0.052525,0.043654,0.011769,0.002899,0.000314,0.000035,0.000000
0.040000,0.003807,0.000070,0.001397,0.001746,0.000489,0.000105,0.000000,0.000000,0.000000
