bin,total,start3=0,start3=1,start3=2,start3=3,start3=4,start3=5,start3=6,start3=7
0.020000,0.209716,0.016728,0.092268,0.073409,0.022665,0.003981,0.000594,0.000035,0.000035
0.021000,0.089928,0.008312,0.038451,0.032584,0.008521,0.001816,0.000244,0.000000,0.000000
0.022000,0.075784,0.005762,0.033771,0.026821,0.007613,0.001572,0.000210,0.000035,0.000000
0.023000,0.071628,0.005588,0.031606,0.024621,0.007893,0.001606,0.000210,0.000105,0.000000
0.024000,0.065377,0.004715,0.030104,0.022875,0.006181,0.001222,0.000210,0.000070,0.000000
0.025000,0.063700,0.004610,0.030244,0.021024,0.006496,0.001083,0.000210,0.000035,0.000000
0.026000,0.065936,0.004331,0.029021,0.024446,0.006845,0.001187,0.000105,0.000000,0.000000
0.027000,0.071139,0.004540,0.031676,0.024935,0.008277,0.001397,0.000314,0.000000,0.000000
0.028000,0.080813,0.004785,0.035447,0.029231,0.009115,0.001711,0.000454,0.000070,0.000000
0.029000,0.116051,0.009709,0.050185,0.040407,0.012712,0.002549,0.000454,0.000035,0.000000
0.030000,0.089928,0.000000,0.039254,0.037473,0.010547,0.002200,0.000419,0.000000,0.000035
