bin,total,start3=0,start3=1,start3=2,start3=3
0.070000,0.000112,0.000112,0.000000,0.000000,0.000000
0.071000,0.000392,0.000336,0.000056,0.000000,0.000000
0.072000,0.000336,0.000112,0.000224,0.000000,0.000000
0.073000,0.000616,0.000280,0.000336,0.000000,0.000000
0.074000,0.000952,0.000560,0.000392,0.000000,0.000000
0.075000,0.001120,0.000448,0.000672,0.000000,0.000000
0.076000,0.001624,0.000672,0.000952,0.000000,0.000000
0.077000,0.001904,0.001008,0.000896,0.000000,0.000000
0.078000,0.002800,0.001176,0.001624,0.000000,0.000000
0.079000,0.003136,0.001064,0.002072,0.000000,0.000000
0.080000,0.003976,0.001904,0.002072,0.000000,0.000000
0.081000,0.003752,0.000784,0.002968,0.000000,0.000000
0.082000,0.005544,0.001568,0.003976,0.000000,0.000000
0.083000,0.006160,0.001456,0.004704,0.000000,0.000000
0.084000,0.006776,0.001400,0.005376,0.000000,0.000000
0.085000,0.008568,0.002296,0.006160,0.000112,0.000000
0.086000,0.007560,0.001792,0.005768,0.000000,0.000000
0.087000,0.008680,0.002296,0.006328,0.000056,0.000000
0.088000,0.008624,0.001848,0.006776,0.000000,0.000000
0.089000,0.008008,0.002016,0.005992,0.000000,0.000000
0.090000,0.007840,0.001904,0.005824,0.000112,0.000000
0.091000,0.007952,0.002016,0.005824,0.000112,0.000000
0.092000,0.009352,0.002408,0.006888,0.000056,0.000000
0.093000,0.008288,0.001288,0.007000,0.000000,0.000000
0.094000,0.007896,0.001736,0.006160,0.000000,0.000000
0.095000,0.006440,0.001064,0.005208,0.000168,0.000000
0.096000,0.006048,0.000896,0.005152,0.000000,0.000000
0.097000,0.006104,0.001288,0.004816,0.000000,0.000000
0.098000,0.005600,0.000728,0.004816,0.000056,0.000000
0.099000,0.006552,0.001232,0.005208,0.000112,0.000000
0.100000,0.005096,0.000896,0.004200,0.000000,0.000000
0.101000,0.005152,0.000840,0.004200,0.000112,0.000000
0.102000,0.005320,0.000392,0.004872,0.000056,0.000000
0.103000,0.006272,0.000616,0.005320,0.000336,0.000000
0.104000,0.005208,0.000616,0.004536,0.000056,0.000000
0.105000,0.006048,0.000560,0.005376,0.000112,0.000000
0.106000,0.006048,0.000448,0.005432,0.000168,0.000000
0.107000,0.005432,0.000504,0.004760,0.000168,0.000000
0.108000,0.006104,0.000560,0.005432,0.000112,0.000000
0.109000,0.006888,0.000392,0.006328,0.000168,0.000000
0.110000,0.006496,0.000336,0.005824,0.000336,0.000000
0.111000,0.007224,0.000392,0.006440,0.000392,0.000000
0.112000,0.007560,0.000280,0.006832,0.000448,0.000000
0.113000,0.007168,0.000112,0.006888,0.000168,0.000000
0.114000,0.008120,0.000224,0.007224,0.000672,0.000000
0.115000,0.009968,0.000280,0.008904,0.000784,0.000000
0.116000,0.007840,0.000112,0.006776,0.000952,0.000000
0.117000,0.010472,0.000280,0.009128,0.001064,0.000000
0.118000,0.011424,0.000224,0.009632,0.001568,0.000000
0.119000,0.013328,0.000224,0.011592,0.001512,0.000000
0.120000,0.013104,0.000168,0.010304,0.002632,0.000000
0.121000,0.013440,0.000224,0.010696,0.002520,0.000000
0.122000,0.015904,0.000168,0.012880,0.002856,0.000000
0.123000,0.014560,0.000112,0.010864,0.003584,0.000000
0.124000,0.016688,0.000056,0.012712,0.003920,0.000000
0.125000,0.018816,0.000224,0.013216,0.005376,0.000000
0.126000,0.018536,0.000224,0.013496,0.004816,0.000000
0.127000,0.019096,0.000112,0.012656,0.006328,0.000000
0.128000,0.021952,0.000168,0.014448,0.007336,0.000000
0.129000,0.024808,0.000168,0.016128,0.008456,0.000056
0.130000,0.024136,0.000112,0.014168,0.009744,0.000112
0.131000,0.026432,0.000000,0.015288,0.011032,0.000112
0.132000,0.026488,0.000056,0.013552,0.012824,0.000056
0.133000,0.027048,0.000000,0.013888,0.013104,0.000056
0.134000,0.028000,0.000000,0.013496,0.014392,0.000112
0.135000,0.026208,0.000056,0.011648,0.014336,0.000168
0.136000,0.029344,0.000000,0.011984,0.017360,0.000000
0.137000,0.025536,0.000056,0.010584,0.014784,0.000112
0.138000,0.024472,0.000056,0.010304,0.014056,0.000056
0.139000,0.024192,0.000000,0.009688,0.014392,0.000112
0.140000,0.022008,0.000000,0.008512,0.013384,0.000112
0.141000,0.021056,0.000000,0.007168,0.013776,0.000112
0.142000,0.017920,0.000000,0.007392,0.010472,0.000056
0.143000,0.017024,0.000000,0.006384,0.010584,0.000056
0.144000,0.015624,0.000000,0.005432,0.010024,0.000168
0.145000,0.013048,0.000000,0.004872,0.008120,0.000056
0.146000,0.015120,0.000000,0.005488,0.009632,0.000000
0.147000,0.011368,0.000000,0.004536,0.006776,0.000056
0.148000,0.011088,0.000000,0.004200,0.006776,0.000112
0.149000,0.009856,0.000000,0.003752,0.006104,0.000000
0.150000,0.008456,0.000000,0.003024,0.005376,0.000056
0.151000,0.008288,0.000056,0.002856,0.005320,0.000056
0.152000,0.007224,0.000000,0.002744,0.004480,0.000000
0.153000,0.005264,0.000000,0.001736,0.003528,0.000000
0.154000,0.006608,0.000000,0.002800,0.003808,0.000000
0.155000,0.005600,0.000000,0.002016,0.003528,0.000056
0.156000,0.004536,0.000000,0.001792,0.002744,0.000000
0.157000,0.004704,0.000000,0.001400,0.003304,0.000000
0.158000,0.003360,0.000000,0.001288,0.002072,0.000000
0.159000,0.003528,0.000000,0.001288,0.002240,0.000000
0.160000,0.003528,0.000000,0.001120,0.002352,0.000056
0.161000,0.002968,0.000000,0.001064,0.001904,0.000000
0.162000,0.002912,0.000000,0.001288,0.001624,0.000000
0.163000,0.002296,0.000000,0.001120,0.001120,0.000056
0.164000,0.002688,0.000000,0.001344,0.001344,0.000000
0.165000,0.002576,0.000000,0.000560,0.002016,0.000000
0.166000,0.002296,0.000000,0.000784,0.001512,0.000000
0.167000,0.001512,0.000000,0.000784,0.000672,0.000056
