Assistance_PedestrianNotification_SPAWN->Assistance_PedestrianNotification_START,Assistance_PedestrianNotification_SPAWN->Assistance_PedestrianNotification_START
0.000000,0.000000
0.000000,0.000000
0.018254,0.018254
0.000000,0.000000
0.021385,0.021385
0.000000,0.000000
0.121622,0.121622
0.034303,0.034303
0.000000,0.000000
0.000000,0.000000
0.034043,0.034043
0.017239,0.017239
0.000813,0.000813
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.012511,0.012511
0.000000,0.000000
0.027323,0.027323
0.023372,0.023372
0.006831,0.006831
0.000000,0.000000
0.000000,0.000000
0.003844,0.003844
0.000000,0.000000
0.059473,0.059473
0.035284,0.035284
0.000000,0.000000
0.007374,0.007374
0.000000,0.000000
0.054561,0.054561
0.023398,0.023398
0.041602,0.041602
0.003999,0.003999
0.028859,0.028859
0.044265,0.044265
0.026882,0.026882
0.022393,0.022393
0.014175,0.014175
0.047081,0.047081
0.000000,0.000000
0.033463,0.033463
0.000000,0.000000
0.000000,0.000000
0.038236,0.038236
0.000000,0.000000
0.021467,0.021467
0.000000,0.000000
0.051957,0.051957
0.000000,0.000000
0.028221,0.028221
0.000000,0.000000
0.080043,0.080043
0.017969,0.017969
0.056585,0.056585
0.044363,0.044363
0.009777,0.009777
0.042338,0.042338
0.031627,0.031627
0.036575,0.036575
0.000000,0.000000
0.040441,0.040441
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.029136,0.029136
0.046415,0.046415
0.001830,0.001830
0.045485,0.045485
0.000000,0.000000
0.000000,0.000000
0.054394,0.054394
0.000000,0.000000
0.000000,0.000000
0.000933,0.000933
0.006906,0.006906
0.049082,0.049082
0.040234,0.040234
0.025808,0.025808
0.042831,0.042831
0.000765,0.000765
0.033943,0.033943
0.002093,0.002093
0.024433,0.024433
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.042186,0.042186
0.007149,0.007149
0.000000,0.000000
0.058854,0.058854
0.008707,0.008707
0.047040,0.047040
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.030287,0.030287
0.031914,0.031914
0.000000,0.000000
0.010990,0.010990
0.010013,0.010013
0.000000,0.000000
0.018994,0.018994
0.011645,0.011645
0.000000,0.000000
0.003409,0.003409
0.003966,0.003966
0.000000,0.000000
0.021790,0.021790
0.000000,0.000000
0.000000,0.000000
0.049871,0.049871
0.000000,0.000000
0.000000,0.000000
0.002771,0.002771
0.000000,0.000000
0.006167,0.006167
0.013802,0.013802
0.000000,0.000000
0.042837,0.042837
0.000000,0.000000
0.000000,0.000000
0.010220,0.010220
0.000000,0.000000
0.060539,0.060539
0.001953,0.001953
0.000000,0.000000
0.002973,0.002973
0.018614,0.018614
0.002032,0.002032
0.024698,0.024698
0.000000,0.000000
0.056993,0.056993
