bin,total,finish1->start2,finish2->start3,start1->finish1,start2->finish2,start3->finish3
0.021000,0.000015,0.000000,0.000000,0.000000,0.000015,0.000000
0.034000,0.000015,0.000015,0.000000,0.000000,0.000000,0.000000
0.036000,0.000015,0.000000,0.000007,0.000000,0.000008,0.000000
0.051000,0.000015,0.000000,0.000000,0.000011,0.000005,0.000000
0.063000,0.000015,0.000000,0.000000,0.000015,0.000000,0.000000
0.065000,0.000015,0.000000,0.000015,0.000000,0.000000,0.000000
0.067000,0.000015,0.000000,0.000010,0.000000,0.000005,0.000000
0.070000,0.000015,0.000002,0.000000,0.000000,0.000013,0.000000
0.078000,0.000015,0.000000,0.000009,0.000000,0.000007,0.000000
0.089000,0.000015,0.000000,0.000000,0.000014,0.000001,0.000000
0.094000,0.000030,0.000027,0.000001,0.000000,0.000000,0.000002
0.097000,0.000015,0.000007,0.000005,0.000000,0.000003,0.000000
0.098000,0.000015,0.000005,0.000010,0.000000,0.000000,0.000000
0.100000,0.000015,0.000000,0.000004,0.000011,0.000000,0.000000
0.105000,0.000015,0.000002,0.000000,0.000000,0.000013,0.000000
0.110000,0.000015,0.000000,0.000006,0.000000,0.000010,0.000000
0.112000,0.000015,0.000010,0.000005,0.000000,0.000000,0.000000
0.121000,0.000015,0.000005,0.000000,0.000000,0.000001,0.000010
0.144000,0.000015,0.000000,0.000000,0.000015,0.000000,0.000000
0.159000,0.000015,0.000015,0.000000,0.000000,0.000000,0.000000
0.161000,0.000015,0.000000,0.000014,0.000000,0.000001,0.000000
0.163000,0.000015,0.000006,0.000005,0.000000,0.000000,0.000003
0.167000,0.000015,0.000007,0.000001,0.000007,0.000000,0.000000
0.168000,0.000015,0.000003,0.000000,0.000000,0.000003,0.000009
0.170000,0.000015,0.000008,0.000004,0.000003,0.000000,0.000000
0.173000,0.000015,0.000000,0.000008,0.000000,0.000000,0.000007
0.181000,0.000030,0.000015,0.000005,0.000006,0.000000,0.000004
0.194000,0.000015,0.000000,0.000001,0.000000,0.000003,0.000012
0.201000,0.000015,0.000002,0.000006,0.000001,0.000007,0.000000
0.202000,0.000015,0.000007,0.000000,0.000001,0.000000,0.000007
0.204000,0.000015,0.000003,0.000000,0.000000,0.000000,0.000012
0.210000,0.000015,0.000004,0.000000,0.000000,0.000012,0.000000
0.213000,0.000015,0.000000,0.000000,0.000000,0.000000,0.000015
0.226000,0.000015,0.000000,0.000008,0.000000,0.000007,0.000000
0.227000,0.000015,0.000005,0.000000,0.000000,0.000000,0.000010
0.238000,0.000015,0.000005,0.000009,0.000000,0.000000,0.000001
0.240000,0.000015,0.000002,0.000000,0.000000,0.000013,0.000000
0.241000,0.000015,0.000000,0.000003,0.000000,0.000004,0.000008
0.242000,0.000015,0.000002,0.000000,0.000000,0.000009,0.000005
0.247000,0.000015,0.000003,0.000002,0.000000,0.000010,0.000000
0.251000,0.000015,0.000000,0.000000,0.000000,0.000015,0.000000
0.256000,0.000030,0.000015,0.000000,0.000007,0.000005,0.000004
0.262000,0.000015,0.000004,0.000005,0.000000,0.000006,0.000000
0.265000,0.000015,0.000007,0.000005,0.000002,0.000002,0.000000
0.271000,0.000015,0.000000,0.000002,0.000000,0.000012,0.000001
