bin,total,start3=0,start3=1,start3=2,start3=3,start3=4
0.000000,0.411216,0.196049,0.213961,0.001206,0.000000,0.000000
0.001000,0.009684,0.004753,0.004682,0.000248,0.000000,0.000000
0.002000,0.008726,0.004186,0.004398,0.000142,0.000000,0.000000
0.003000,0.007946,0.003724,0.003973,0.000248,0.000000,0.000000
0.004000,0.008123,0.003476,0.004115,0.000532,0.000000,0.000000
0.005000,0.008442,0.003547,0.004221,0.000674,0.000000,0.000000
0.006000,0.009258,0.003547,0.004505,0.001206,0.000000,0.000000
0.007000,0.009932,0.002873,0.004930,0.002128,0.000000,0.000000
0.008000,0.009400,0.002270,0.005143,0.001986,0.000000,0.000000
0.009000,0.010464,0.001951,0.005711,0.002802,0.000000,0.000000
0.010000,0.011564,0.002235,0.006172,0.003157,0.000000,0.000000
0.011000,0.012450,0.001383,0.007307,0.003760,0.000000,0.000000
0.012000,0.012202,0.001312,0.007272,0.003618,0.000000,0.000000
0.013000,0.015217,0.001348,0.008868,0.005001,0.000000,0.000000
0.014000,0.015643,0.000461,0.009542,0.005640,0.000000,0.000000
0.015000,0.016494,0.000461,0.010287,0.005746,0.000000,0.000000
0.016000,0.019545,0.000426,0.011173,0.007946,0.000000,0.000000
0.017000,0.019793,0.000390,0.011031,0.008371,0.000000,0.000000
0.018000,0.022737,0.000390,0.013302,0.009045,0.000000,0.000000
0.019000,0.023730,0.000142,0.012557,0.011031,0.000000,0.000000
0.020000,0.024369,0.000035,0.012699,0.011635,0.000000,0.000000
0.021000,0.024298,0.000000,0.012273,0.012025,0.000000,0.000000
0.022000,0.023482,0.000000,0.011067,0.012415,0.000000,0.000000
0.023000,0.023127,0.000000,0.008761,0.014366,0.000000,0.000000
0.024000,0.020112,0.000000,0.008016,0.012096,0.000000,0.000000
0.025000,0.018197,0.000000,0.006101,0.012096,0.000000,0.000000
0.026000,0.015572,0.000000,0.005001,0.010570,0.000000,0.000000
0.027000,0.013621,0.000000,0.003831,0.009790,0.000000,0.000000
0.028000,0.013018,0.000000,0.004824,0.008194,0.000000,0.000000
0.029000,0.011670,0.000000,0.004221,0.007449,0.000000,0.000000
0.030000,0.012876,0.000000,0.005640,0.007236,0.000000,0.000000
0.031000,0.013266,0.000000,0.005640,0.007626,0.000000,0.000000
0.032000,0.015146,0.000000,0.007165,0.007981,0.000000,0.000000
0.033000,0.015856,0.000000,0.008513,0.007343,0.000000,0.000000
0.034000,0.013656,0.000000,0.006740,0.006917,0.000000,0.000000
0.035000,0.014259,0.000000,0.007023,0.007236,0.000000,0.000000
0.036000,0.012415,0.000000,0.005995,0.006420,0.000000,0.000000
0.037000,0.012450,0.000000,0.006101,0.006349,0.000000,0.000000
0.038000,0.009364,0.000000,0.004895,0.004469,0.000000,0.000000
