bin,total,Braking_START->Braking_FINISH,Camera1_FINISH->Perception_CameraPerception_START,Camera1_START->Camera1_FINISH,CollisionDetection_BrakingDecision_FINISH->Braking_START,CollisionDetection_BrakingDecision_START->CollisionDetection_BrakingDecision_FINISH,CollisionDetection_TimeToCollision_FINISH->CollisionDetection_BrakingDecision_START,CollisionDetection_TimeToCollision_START->CollisionDetection_TimeToCollision_FINISH,Perception_CameraPerception_FINISH->Perception_Fusion_START,Perception_CameraPerception_START->Perception_CameraPerception_FINISH,Perception_Fusion_FINISH->SemanticExtraction_ObjectDetection_START,Perception_Fusion_START->Perception_Fusion_FINISH,SemanticExtraction_ObjectDetection_FINISH->SemanticExtraction_Prediction_START,SemanticExtraction_ObjectDetection_START->SemanticExtraction_ObjectDetection_FINISH,SemanticExtraction_Prediction_FINISH->CollisionDetection_TimeToCollision_START,SemanticExtraction_Prediction_START->SemanticExtraction_Prediction_FINISH
0.409000,0.004152,0.000103,0.000788,0.000061,0.000000,0.000055,0.000042,0.000317,0.000806,0.000100,0.000017,0.000243,0.000000,0.000488,0.001034,0.000098
0.410000,0.004152,0.000102,0.000790,0.000059,0.000000,0.000056,0.000015,0.000314,0.000759,0.000100,0.000000,0.000236,0.000048,0.000491,0.001078,0.000105
0.411000,0.004152,0.000092,0.000896,0.000048,0.000000,0.000045,0.000000,0.000261,0.000768,0.000114,0.000000,0.000260,0.000042,0.000483,0.001043,0.000099
0.412000,0.004745,0.000115,0.000995,0.000065,0.000000,0.000056,0.000000,0.000343,0.000885,0.000111,0.000039,0.000328,0.000019,0.000624,0.001052,0.000114
0.413000,0.005931,0.000133,0.001302,0.000068,0.000000,0.000068,0.000015,0.000458,0.000914,0.000138,0.000004,0.000373,0.000067,0.000825,0.001424,0.000141
0.414000,0.004152,0.000108,0.000951,0.000043,0.000000,0.000052,0.000028,0.000282,0.000742,0.000097,0.000031,0.000255,0.000031,0.000503,0.000933,0.000096
0.415000,0.002966,0.000065,0.000444,0.000036,0.000000,0.000036,0.000000,0.000219,0.000512,0.000084,0.000000,0.000175,0.000046,0.000370,0.000900,0.000079
0.416000,0.005931,0.000130,0.001000,0.000100,0.000000,0.000069,0.000027,0.000415,0.001080,0.000130,0.000000,0.000376,0.000080,0.000720,0.001659,0.000145
0.417000,0.009490,0.000245,0.001753,0.000107,0.000000,0.000110,0.000044,0.000678,0.001519,0.000215,0.000003,0.000567,0.000109,0.001280,0.002636,0.000225
0.418000,0.005931,0.000141,0.001149,0.000085,0.000000,0.000070,0.000030,0.000444,0.000994,0.000134,0.000000,0.000339,0.000077,0.000670,0.001655,0.000143
0.419000,0.008304,0.000198,0.001770,0.000081,0.000000,0.000085,0.000027,0.000583,0.001349,0.000210,0.000035,0.000533,0.000054,0.001049,0.002142,0.000187
0.420000,0.004152,0.000090,0.000803,0.000044,0.000000,0.000048,0.000000,0.000305,0.000611,0.000085,0.000000,0.000237,0.000030,0.000496,0.001302,0.000100
0.421000,0.007117,0.000161,0.001538,0.000072,0.000000,0.000096,0.000055,0.000518,0.001145,0.000169,0.000000,0.000392,0.000076,0.000857,0.001871,0.000167
0.422000,0.005338,0.000133,0.001114,0.000064,0.000000,0.000054,0.000030,0.000359,0.000832,0.000121,0.000000,0.000321,0.000118,0.000653,0.001413,0.000127
0.423000,0.001186,0.000027,0.000291,0.000014,0.000000,0.000014,0.000000,0.000073,0.000248,0.000027,0.000000,0.000069,0.000000,0.000148,0.000251,0.000024
0.424000,0.004745,0.000103,0.000816,0.000059,0.000000,0.000071,0.000013,0.000308,0.000814,0.000121,0.000000,0.000269,0.000081,0.000555,0.001423,0.000112
0.425000,0.003559,0.000088,0.000758,0.000050,0.000000,0.000048,0.000027,0.000236,0.000566,0.000079,0.000037,0.000223,0.000052,0.000456,0.000854,0.000085
0.426000,0.001779,0.000034,0.000354,0.000022,0.000000,0.000029,0.000016,0.000121,0.000261,0.000049,0.000000,0.000105,0.000037,0.000204,0.000503,0.000045
0.427000,0.004745,0.000121,0.000897,0.000068,0.000000,0.000054,0.000043,0.000321,0.000530,0.000107,0.000000,0.000319,0.000099,0.000591,0.001491,0.000105
0.428000,0.007117,0.000159,0.001492,0.000087,0.000000,0.000075,0.000013,0.000466,0.000829,0.000149,0.000000,0.000402,0.000250,0.000817,0.002209,0.000170
0.429000,0.002966,0.000055,0.000536,0.000038,0.000000,0.000033,0.000000,0.000199,0.000421,0.000068,0.000000,0.000173,0.000061,0.000315,0.001000,0.000067
0.430000,0.004152,0.000087,0.000914,0.000052,0.000000,0.000042,0.000028,0.000276,0.000568,0.000088,0.000013,0.000282,0.000078,0.000520,0.001106,0.000099
0.431000,0.004745,0.000111,0.001015,0.000052,0.000000,0.000044,0.000040,0.000305,0.000748,0.000124,0.000008,0.000306,0.000083,0.000528,0.001271,0.000109
0.432000,0.007711,0.000166,0.001510,0.000093,0.000000,0.000093,0.000059,0.000555,0.001288,0.000188,0.000014,0.000420,0.000121,0.000921,0.002108,0.000175
0.433000,0.007117,0.000147,0.001247,0.000092,0.000000,0.000077,0.000026,0.000506,0.000995,0.000177,0.000000,0.000373,0.000186,0.000888,0.002241,0.000164
