start1->finish3,start1->finish1,finish1->start2,start2->finish2,finish2->start3,start3->finish3,start3
2.378424,0.045579,0.637162,1.495643,0.031283,0.168757,20
2.202946,0.126315,0.545347,1.433848,0.075472,0.021964,21
2.105663,0.363974,0.515578,1.185169,0.000000,0.040942,21
2.674012,0.536281,0.600358,1.136814,0.096346,0.304213,22
2.552701,0.421614,0.465731,1.280625,0.000000,0.384731,19
2.429376,0.370118,0.532769,1.177120,0.077885,0.271484,19
2.503658,0.372292,0.598760,1.265496,0.059179,0.207931,19
2.618635,0.371289,0.595817,1.317315,0.027491,0.306723,18
2.521216,0.465731,0.504036,1.281740,0.000000,0.269709,18
2.468545,0.443697,0.549129,1.344511,0.119842,0.011366,19
2.265390,0.482573,0.952141,0.727050,0.086026,0.017600,19
2.362597,0.452007,0.972489,0.653135,0.247139,0.037827,16
2.335289,0.540130,0.924701,0.673559,0.000000,0.196899,17
2.473193,0.503269,0.998435,0.695025,0.000000,0.276464,19
2.443676,0.489840,0.974411,0.738933,0.000000,0.240492,19
2.435646,0.497048,0.937378,0.774356,0.000000,0.226864,19
2.494634,0.498487,0.928604,0.784937,0.000000,0.282606,20
2.540521,0.579213,0.838887,0.879696,0.242725,0.000000,21
2.419425,0.722012,0.744017,0.919396,0.034000,0.000000,20
2.171772,0.478394,0.900748,0.792630,0.000000,0.000000,20
1.904167,0.207931,0.874819,0.821417,0.000000,0.000000,19
2.146181,0.489518,0.561494,0.863871,0.000000,0.231298,19
2.296177,0.536236,0.698911,0.713981,0.095341,0.251708,20
2.204838,0.460907,0.820852,0.766137,0.000000,0.156942,20
2.434560,0.349755,0.799446,0.802272,0.271168,0.211919,21
1.930602,0.166773,1.173077,0.411939,0.000000,0.178813,19
2.023652,0.189272,1.183570,0.429990,0.000000,0.220820,18
2.045191,0.250268,1.073180,0.483087,0.000000,0.238656,18
2.088421,0.318202,0.981511,0.386208,0.000000,0.402500,17
1.905000,0.139541,1.029299,0.415804,0.000000,0.320356,15
1.908749,0.391710,0.859442,0.450575,0.000000,0.207022,15
2.384658,0.447099,0.974036,0.488345,0.358866,0.116312,19
2.060731,0.435031,0.909881,0.495125,0.044999,0.175695,16
1.917208,0.204544,0.807592,0.684132,0.012803,0.208137,15
1.927778,0.328568,1.076438,0.307807,0.000000,0.214965,14
2.028893,0.411106,0.963523,0.371207,0.000000,0.283057,16
2.066096,0.415804,0.927725,0.310517,0.000000,0.412050,17
2.335572,0.377045,0.901714,0.614007,0.140310,0.302496,22
2.049819,0.225069,0.848312,0.633993,0.000000,0.342445,17
2.073780,0.608555,0.487519,0.585429,0.020800,0.371477,18
2.489471,0.607369,0.322555,0.597504,0.000000,0.962043,17
2.558696,0.621162,0.377851,0.546383,0.000000,1.013300,18
2.605925,0.654268,0.678544,0.188296,0.000000,1.084817,18
2.872377,0.594968,0.679373,0.403337,0.205257,0.989442,23
3.010377,0.566944,0.625562,0.580972,0.090571,1.146328,24
2.864669,0.440869,0.713665,0.630151,0.037605,1.042379,24
2.949901,0.483143,0.728168,0.671791,0.168957,0.897842,25
2.878609,0.690433,1.174111,0.194630,0.000000,0.819435,25
2.797777,0.515601,1.231908,0.235668,0.000000,0.814600,21
2.990913,0.159660,1.308083,0.497688,0.000000,1.025482,24
3.007442,0.089294,1.309189,0.575014,0.096478,0.937467,24
3.258052,0.005287,1.480597,0.632931,0.066464,1.072773,20
3.086495,0.205257,1.260470,0.587097,0.000000,1.033671,18
3.170152,0.150201,1.259592,0.596415,0.000000,1.163944,20
3.207091,0.161861,1.544868,0.272078,0.000000,1.228284,21
3.288684,0.074769,1.623875,0.351460,0.000000,1.238580,23
3.350167,0.037605,1.651506,0.305005,0.000000,1.356051,23
3.380212,0.179126,1.525446,0.273189,0.155343,1.247108,24
3.249793,0.169957,1.449418,0.385891,0.002184,1.242343,24
3.298129,0.170935,1.606450,0.366044,0.000000,1.154700,24
3.174351,0.194630,1.433070,0.379847,0.000000,1.166804,24
3.107200,0.180396,1.640689,0.182267,0.000000,1.103848,24
3.231071,0.124351,1.631374,0.193306,0.000000,1.282040,25
3.259614,0.055272,1.673949,0.340785,0.087638,1.101970,26
