Assistance_Speeding_SPAWN->Assistance_Speeding_START,Assistance_Speeding_SPAWN->Assistance_Speeding_START
0.021127,0.021127
0.041759,0.041759
0.000000,0.000000
0.011325,0.011325
0.021214,0.021214
0.000000,0.000000
0.002712,0.002712
0.012993,0.012993
0.000000,0.000000
0.000000,0.000000
0.024752,0.024752
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.004570,0.004570
0.003582,0.003582
0.027154,0.027154
0.000000,0.000000
0.000000,0.000000
0.022123,0.022123
0.027825,0.027825
0.025728,0.025728
0.000000,0.000000
0.048474,0.048474
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.068791,0.068791
0.000000,0.000000
0.037073,0.037073
0.026209,0.026209
0.000000,0.000000
0.000000,0.000000
0.041305,0.041305
0.015422,0.015422
0.030766,0.030766
0.028400,0.028400
0.085284,0.085284
0.000000,0.000000
0.043137,0.043137
0.009873,0.009873
0.059370,0.059370
0.026544,0.026544
0.000000,0.000000
0.000000,0.000000
0.072706,0.072706
0.028261,0.028261
0.005516,0.005516
0.000000,0.000000
0.009801,0.009801
0.037501,0.037501
0.026066,0.026066
0.014666,0.014666
0.037083,0.037083
0.000000,0.000000
0.000000,0.000000
0.053394,0.053394
0.000331,0.000331
0.000000,0.000000
0.000759,0.000759
0.034077,0.034077
0.057702,0.057702
0.041378,0.041378
0.029660,0.029660
0.009205,0.009205
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.009156,0.009156
0.002927,0.002927
0.000000,0.000000
0.000982,0.000982
0.057671,0.057671
0.043670,0.043670
0.054118,0.054118
0.016369,0.016369
0.011415,0.011415
0.040405,0.040405
0.036320,0.036320
0.114686,0.114686
0.000000,0.000000
0.000000,0.000000
0.014768,0.014768
0.000000,0.000000
0.056158,0.056158
0.001771,0.001771
0.036070,0.036070
0.034736,0.034736
0.000000,0.000000
0.125228,0.125228
0.028284,0.028284
0.000000,0.000000
0.022355,0.022355
0.000000,0.000000
0.000227,0.000227
0.028727,0.028727
0.001417,0.001417
0.058927,0.058927
0.009170,0.009170
0.000000,0.000000
0.000000,0.000000
0.009427,0.009427
0.016745,0.016745
0.004359,0.004359
0.004313,0.004313
0.035434,0.035434
0.033926,0.033926
0.000000,0.000000
0.008865,0.008865
0.041941,0.041941
0.045442,0.045442
0.000000,0.000000
0.003778,0.003778
0.007328,0.007328
0.021949,0.021949
0.044391,0.044391
0.000000,0.000000
0.036261,0.036261
0.000000,0.000000
0.028896,0.028896
0.014791,0.014791
0.043175,0.043175
0.002576,0.002576
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.023856,0.023856
0.000000,0.000000
0.000000,0.000000
0.005015,0.005015
0.006432,0.006432
0.038320,0.038320
0.019562,0.019562
0.000000,0.000000
0.000000,0.000000
0.005814,0.005814
0.000000,0.000000
0.026546,0.026546
0.000000,0.000000
0.035541,0.035541
0.000000,0.000000
0.012202,0.012202
0.034583,0.034583
0.000000,0.000000
0.000000,0.000000
0.009407,0.009407
0.000000,0.000000
0.052361,0.052361
0.000130,0.000130
0.005322,0.005322
0.002259,0.002259
0.007165,0.007165
0.044295,0.044295
0.000000,0.000000
0.022578,0.022578
0.011568,0.011568
0.043542,0.043542
0.000000,0.000000
0.000000,0.000000
0.023454,0.023454
0.034948,0.034948
0.027189,0.027189
0.009055,0.009055
0.018272,0.018272
0.034176,0.034176
0.045200,0.045200
0.051478,0.051478
0.003116,0.003116
0.005438,0.005438
0.015828,0.015828
0.000000,0.000000
0.045297,0.045297
0.009528,0.009528
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.010084,0.010084
0.073510,0.073510
0.049604,0.049604
0.052018,0.052018
0.039411,0.039411
0.000767,0.000767
0.005728,0.005728
0.027433,0.027433
0.022248,0.022248
0.000000,0.000000
0.050108,0.050108
0.035009,0.035009
0.049906,0.049906
0.030908,0.030908
0.033139,0.033139
0.030022,0.030022
0.026480,0.026480
0.011529,0.011529
0.041082,0.041082
0.066678,0.066678
0.039375,0.039375
0.000000,0.000000
0.050283,0.050283
0.019164,0.019164
0.025881,0.025881
0.011009,0.011009
0.000000,0.000000
0.000000,0.000000
0.047359,0.047359
0.020361,0.020361
0.001250,0.001250
0.058895,0.058895
0.000000,0.000000
0.034327,0.034327
0.000000,0.000000
0.003562,0.003562
0.000000,0.000000
0.021547,0.021547
0.042553,0.042553
0.000000,0.000000
0.096564,0.096564
0.029126,0.029126
0.000000,0.000000
0.000000,0.000000
0.013948,0.013948
0.003621,0.003621
0.017860,0.017860
0.035782,0.035782
0.012589,0.012589
0.004135,0.004135
0.047205,0.047205
0.012453,0.012453
0.000000,0.000000
0.039975,0.039975
0.065607,0.065607
0.000000,0.000000
0.000000,0.000000
0.005124,0.005124
0.066696,0.066696
0.000000,0.000000
0.007717,0.007717
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.005067,0.005067
0.000000,0.000000
0.000000,0.000000
0.050536,0.050536
0.000000,0.000000
0.034162,0.034162
0.011148,0.011148
0.008041,0.008041
0.010978,0.010978
0.021186,0.021186
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.008646,0.008646
0.006656,0.006656
0.043186,0.043186
0.007626,0.007626
0.047712,0.047712
0.020136,0.020136
0.013366,0.013366
0.005775,0.005775
0.003938,0.003938
0.069268,0.069268
0.000000,0.000000
0.017657,0.017657
0.000000,0.000000
0.000000,0.000000
0.038735,0.038735
0.003349,0.003349
0.068741,0.068741
0.040664,0.040664
0.000000,0.000000
0.000000,0.000000
0.008362,0.008362
0.054641,0.054641
0.001703,0.001703
0.028952,0.028952
0.005415,0.005415
0.000000,0.000000
0.021648,0.021648
0.035741,0.035741
0.000000,0.000000
0.000000,0.000000
0.021230,0.021230
0.038295,0.038295
0.021782,0.021782
0.000000,0.000000
0.003599,0.003599
0.006219,0.006219
0.000000,0.000000
0.036807,0.036807
0.053693,0.053693
0.014971,0.014971
0.000000,0.000000
0.034934,0.034934
0.019511,0.019511
0.027610,0.027610
0.000000,0.000000
0.032808,0.032808
0.037031,0.037031
0.000000,0.000000
0.039206,0.039206
0.026211,0.026211
0.005871,0.005871
0.000000,0.000000
0.000000,0.000000
0.063581,0.063581
0.000000,0.000000
0.010065,0.010065
0.000000,0.000000
0.000000,0.000000
0.023283,0.023283
0.000000,0.000000
0.064734,0.064734
0.033513,0.033513
0.010898,0.010898
0.000000,0.000000
0.002267,0.002267
0.055005,0.055005
0.010524,0.010524
0.023617,0.023617
0.008536,0.008536
0.038310,0.038310
0.012795,0.012795
0.000060,0.000060
0.018563,0.018563
0.012066,0.012066
0.007151,0.007151
0.000000,0.000000
0.064804,0.064804
0.000000,0.000000
0.000000,0.000000
0.028106,0.028106
0.015873,0.015873
0.005127,0.005127
0.000000,0.000000
0.018583,0.018583
0.000000,0.000000
0.000000,0.000000
0.017045,0.017045
0.005344,0.005344
0.024840,0.024840
0.016750,0.016750
0.000000,0.000000
0.006234,0.006234
0.029817,0.029817
0.081434,0.081434
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.030832,0.030832
0.030641,0.030641
0.000000,0.000000
0.035640,0.035640
0.017469,0.017469
0.031142,0.031142
0.000605,0.000605
0.016008,0.016008
0.002972,0.002972
0.076997,0.076997
0.000000,0.000000
0.000000,0.000000
0.055428,0.055428
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.049062,0.049062
0.000000,0.000000
0.010648,0.010648
0.000000,0.000000
0.000000,0.000000
0.012287,0.012287
0.041087,0.041087
0.033762,0.033762
0.000000,0.000000
0.022961,0.022961
0.021659,0.021659
0.051640,0.051640
0.042566,0.042566
0.018605,0.018605
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.015474,0.015474
0.000000,0.000000
0.008788,0.008788
0.006087,0.006087
0.028865,0.028865
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.008882,0.008882
0.003917,0.003917
0.035687,0.035687
0.028608,0.028608
0.039422,0.039422
0.000000,0.000000
0.000000,0.000000
0.041884,0.041884
0.028471,0.028471
0.042681,0.042681
0.000000,0.000000
0.007518,0.007518
0.000000,0.000000
0.035093,0.035093
0.008581,0.008581
0.008062,0.008062
0.000000,0.000000
0.000000,0.000000
0.001795,0.001795
0.006558,0.006558
0.000000,0.000000
0.024183,0.024183
0.022129,0.022129
0.004550,0.004550
0.001969,0.001969
0.030398,0.030398
0.000000,0.000000
0.000000,0.000000
0.008553,0.008553
0.035445,0.035445
0.014056,0.014056
0.021221,0.021221
0.000000,0.000000
0.045242,0.045242
0.001824,0.001824
0.002497,0.002497
0.000000,0.000000
0.028451,0.028451
0.048232,0.048232
0.074422,0.074422
0.000000,0.000000
0.041318,0.041318
0.000000,0.000000
0.033559,0.033559
0.015607,0.015607
0.024015,0.024015
0.002061,0.002061
0.000000,0.000000
0.012680,0.012680
0.031915,0.031915
0.002123,0.002123
0.000614,0.000614
0.028682,0.028682
0.000000,0.000000
0.003722,0.003722
0.027919,0.027919
0.000000,0.000000
0.000000,0.000000
0.026414,0.026414
0.007351,0.007351
0.039968,0.039968
0.000000,0.000000
0.042654,0.042654
0.000000,0.000000
0.016145,0.016145
0.066044,0.066044
0.010329,0.010329
0.019124,0.019124
0.010389,0.010389
0.003135,0.003135
0.010832,0.010832
0.000000,0.000000
0.001478,0.001478
0.026282,0.026282
0.000000,0.000000
0.000000,0.000000
0.006063,0.006063
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.055077,0.055077
0.000000,0.000000
0.006075,0.006075
0.000000,0.000000
0.039264,0.039264
0.000000,0.000000
0.020870,0.020870
0.020192,0.020192
0.095007,0.095007
0.002580,0.002580
0.027992,0.027992
0.000000,0.000000
0.049315,0.049315
0.000000,0.000000
0.032196,0.032196
0.026294,0.026294
0.029941,0.029941
0.000000,0.000000
0.012673,0.012673
0.010061,0.010061
0.023025,0.023025
0.037689,0.037689
0.044058,0.044058
0.000000,0.000000
0.001308,0.001308
0.029251,0.029251
0.035970,0.035970
0.048445,0.048445
