start1->finish3,start1->finish1,finish1->start2,start2->finish2,finish2->start3,start3->finish3,start3
0.185239,0.054399,0.066577,0.039390,0.000000,0.024873,14
0.177218,0.052994,0.067375,0.038344,0.000000,0.018505,14
0.180107,0.071511,0.060323,0.016062,0.000000,0.032211,14
0.172856,0.085544,0.039390,0.014991,0.009882,0.023049,13
0.170656,0.077717,0.056849,0.000000,0.000000,0.036090,13
0.172557,0.085094,0.056914,0.006175,0.000000,0.024374,14
0.216575,0.091816,0.046955,0.011125,0.000000,0.066679,16
0.209468,0.088846,0.047922,0.012960,0.000000,0.059740,17
0.214881,0.092668,0.044177,0.010418,0.000000,0.067618,17
0.211896,0.082690,0.052436,0.001155,0.000000,0.075615,16
0.202707,0.090043,0.030549,0.000000,0.000000,0.082115,16
0.187872,0.078420,0.028652,0.000000,0.000000,0.080800,15
0.178637,0.058080,0.037515,0.000000,0.000000,0.083042,14
0.196105,0.064476,0.037456,0.000000,0.004645,0.089528,15
0.192404,0.054595,0.046042,0.000000,0.004461,0.087306,14
0.208064,0.041717,0.052112,0.011357,0.000000,0.102878,15
0.199280,0.028652,0.044048,0.036752,0.000000,0.089828,14
0.235249,0.033620,0.046808,0.040129,0.003478,0.111214,15
0.230988,0.044887,0.058764,0.033003,0.000000,0.094334,13
0.274343,0.046354,0.087306,0.024430,0.016007,0.100246,14
0.243789,0.019507,0.100486,0.038934,0.004350,0.080512,13
0.242566,0.046625,0.089515,0.030510,0.007312,0.068604,12
0.245525,0.040129,0.092062,0.047188,0.000000,0.066146,12
0.250717,0.036847,0.092175,0.051672,0.000000,0.070023,13
0.263131,0.027734,0.102164,0.038905,0.000000,0.094328,13
0.256428,0.027101,0.119319,0.029103,0.003168,0.077737,13
0.268176,0.035820,0.116838,0.025706,0.000000,0.089812,13
0.267399,0.038425,0.115172,0.022327,0.000000,0.091475,14
0.263142,0.035136,0.106755,0.026520,0.000000,0.094731,15
0.273914,0.040437,0.103414,0.029706,0.000000,0.100357,17
0.283892,0.040636,0.107434,0.035292,0.025301,0.075229,18
0.347378,0.051541,0.086967,0.063374,0.000000,0.145496,19
