bin,total,start3=0,start3=1,start3=2,start3=3,start3=4
0.020000,0.103695,0.026499,0.052893,0.024020,0.000248,0.000035
0.021000,0.109966,0.026606,0.054629,0.028306,0.000425,0.000000
0.022000,0.114217,0.028129,0.056790,0.028802,0.000496,0.000000
0.023000,0.114288,0.028129,0.057108,0.028731,0.000319,0.000000
0.024000,0.111914,0.028129,0.053389,0.029936,0.000461,0.000000
0.025000,0.108123,0.025012,0.051901,0.030644,0.000567,0.000000
0.026000,0.101499,0.023736,0.050554,0.026783,0.000390,0.000035
0.027000,0.090197,0.018387,0.045630,0.025933,0.000248,0.000000
0.028000,0.077196,0.015871,0.039253,0.021788,0.000283,0.000000
0.029000,0.068906,0.013391,0.035817,0.019556,0.000142,0.000000
