bin,total,start3=0,start3=1,start3=10,start3=100,start3=101,start3=102,start3=103,start3=104,start3=105,start3=106,start3=107,start3=108,start3=109,start3=11,start3=110,start3=111,start3=112,start3=113,start3=114,start3=115,start3=116,start3=117,start3=118,start3=119,start3=12,start3=120,start3=121,start3=122,start3=123,start3=124,start3=125,start3=126,start3=127,start3=128,start3=129,start3=13,start3=130,start3=131,start3=132,start3=133,start3=134,start3=135,start3=136,start3=137,start3=138,start3=139,start3=14,start3=140,start3=141,start3=142,start3=143,start3=144,start3=145,start3=146,start3=147,start3=148,start3=149,start3=15,start3=150,start3=151,start3=152,start3=153,start3=154,start3=155,start3=156,start3=157,start3=158,start3=159,start3=16,start3=160,start3=161,start3=162,start3=163,start3=164,start3=165,start3=166,start3=167,start3=168,start3=169,start3=17,start3=170,start3=171,start3=172,start3=173,start3=174,start3=175,start3=176,start3=177,start3=178,start3=179,start3=18,start3=180,start3=181,start3=182,start3=183,start3=185,start3=19,start3=2,start3=20,start3=21,start3=22,start3=23,start3=24,start3=25,start3=26,start3=27,start3=28,start3=29,start3=3,start3=30,start3=31,start3=32,start3=33,start3=34,start3=35,start3=36,start3=37,start3=38,start3=39,start3=4,start3=40,start3=41,start3=42,start3=43,start3=44,start3=45,start3=46,start3=47,start3=48,start3=49,start3=5,start3=50,start3=51,start3=52,start3=53,start3=54,start3=55,start3=56,start3=57,start3=58,start3=59,start3=6,start3=60,start3=61,start3=62,start3=63,start3=64,start3=65,start3=66,start3=67,start3=68,start3=69,start3=7,start3=70,start3=71,start3=72,start3=73,start3=74,start3=75,start3=76,start3=77,start3=78,start3=79,start3=8,start3=80,start3=81,start3=82,start3=83,start3=84,start3=85,start3=86,start3=87,start3=88,start3=89,start3=9,start3=90,start3=91,start3=92,start3=93,start3=94,start3=95,start3=96,start3=97,start3=98,start3=99
0.000000,0.612329,0.000049,0.000278,0.002144,0.004567,0.004043,0.003585,0.003617,0.003290,0.003536,0.003437,0.003372,0.002963,0.002799,0.002079,0.002930,0.002979,0.003028,0.002373,0.002373,0.002341,0.002373,0.002472,0.002324,0.002275,0.002308,0.002406,0.001817,0.001948,0.003012,0.002259,0.002341,0.002226,0.002864,0.002406,0.002341,0.002570,0.002603,0.002062,0.002423,0.002341,0.002603,0.002472,0.002259,0.002521,0.002373,0.002423,0.002603,0.002226,0.002161,0.001899,0.002210,0.002030,0.001571,0.001833,0.001702,0.001539,0.001620,0.003028,0.001604,0.001309,0.001539,0.001211,0.001162,0.001408,0.001129,0.000933,0.000835,0.001031,0.003503,0.000769,0.000818,0.000818,0.000622,0.000704,0.000982,0.001031,0.000671,0.000720,0.000720,0.003421,0.000507,0.000589,0.000360,0.000295,0.000213,0.000229,0.000376,0.000246,0.000115,0.000213,0.003896,0.000082,0.000115,0.000098,0.000147,0.000016,0.003961,0.000557,0.004190,0.003928,0.004092,0.004583,0.004436,0.004305,0.004321,0.003978,0.004174,0.004027,0.000687,0.004501,0.004272,0.004583,0.003945,0.004305,0.003863,0.004256,0.004878,0.005516,0.005827,0.000753,0.004861,0.005565,0.005696,0.005058,0.005778,0.005271,0.005844,0.006056,0.005483,0.005876,0.001260,0.004861,0.005909,0.005696,0.006007,0.005598,0.006253,0.005500,0.005222,0.005172,0.005631,0.001326,0.005909,0.005516,0.005909,0.006171,0.006678,0.006155,0.006155,0.006040,0.006171,0.006646,0.001506,0.006875,0.006236,0.006040,0.006171,0.005729,0.006040,0.006105,0.006007,0.005778,0.005385,0.001882,0.004927,0.005516,0.005827,0.005451,0.005729,0.005123,0.005663,0.005336,0.006089,0.005287,0.001801,0.005598,0.005189,0.004845,0.004436,0.004370,0.004419,0.004125,0.003896,0.004534,0.004534
0.001000,0.003323,0.000000,0.000000,0.000000,0.000016,0.000033,0.000033,0.000016,0.000000,0.000016,0.000000,0.000000,0.000000,0.000000,0.000016,0.000016,0.000000,0.000016,0.000000,0.000033,0.000016,0.000016,0.000000,0.000049,0.000033,0.000000,0.000000,0.000016,0.000016,0.000016,0.000000,0.000000,0.000016,0.000000,0.000000,0.000000,0.000000,0.000016,0.000000,0.000033,0.000000,0.000016,0.000000,0.000033,0.000000,0.000016,0.000016,0.000000,0.000016,0.000033,0.000016,0.000000,0.000016,0.000016,0.000000,0.000016,0.000000,0.000000,0.000000,0.000033,0.000000,0.000000,0.000033,0.000000,0.000000,0.000000,0.000016,0.000000,0.000000,0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,0.000000,0.000033,0.000082,0.000016,0.000016,0.000049,0.000016,0.000000,0.000033,0.000016,0.000000,0.000033,0.000033,0.000016,0.000016,0.000016,0.000033,0.000016,0.000000,0.000016,0.000065,0.000016,0.000033,0.000000,0.000033,0.000000,0.000016,0.000000,0.000049,0.000033,0.000098,0.000082,0.000065,0.000033,0.000016,0.000033,0.000033,0.000000,0.000033,0.000033,0.000016,0.000016,0.000049,0.000065,0.000000,0.000016,0.000000,0.000016,0.000033,0.000065,0.000033,0.000049,0.000033,0.000016,0.000033,0.000016,0.000033,0.000033,0.000065,0.000082,0.000082,0.000033,0.000016,0.000016,0.000033,0.000049,0.000049,0.000000,0.000065,0.000016,0.000033,0.000065,0.000049,0.000016,0.000000,0.000049,0.000016,0.000049,0.000016,0.000016,0.000000,0.000033,0.000016,0.000049
0.002000,0.002373,0.000000,0.000000,0.000000,0.000000,0.000033,0.000033,0.000000,0.000000,0.000000,0.000016,0.000000,0.000000,0.000000,0.000016,0.000000,0.000033,0.000016,0.000000,0.000016,0.000016,0.000000,0.000000,0.000000,0.000000,0.000016,0.000000,0.000016,0.000000,0.000016,0.000000,0.000016,0.000000,0.000000,0.000000,0.000049,0.000000,0.000033,0.000000,0.000016,0.000000,0.000000,0.000000,0.000000,0.000016,0.000016,0.000000,0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,0.000000,0.000000,0.000000,0.000033,0.000016,0.000000,0.000000,0.000016,0.000000,0.000000,0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,0.000000,0.000000,0.000000,0.000033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,0.000016,0.000000,0.000033,0.000033,0.000016,0.000049,0.000000,0.000033,0.000033,0.000000,0.000049,0.000033,0.000033,0.000016,0.000016,0.000033,0.000016,0.000033,0.000033,0.000000,0.000000,0.000033,0.000000,0.000065,0.000016,0.000016,0.000000,0.000033,0.000033,0.000000,0.000000,0.000000,0.000049,0.000033,0.000000,0.000065,0.000033,0.000033,0.000049,0.000049,0.000033,0.000033,0.000000,0.000000,0.000033,0.000033,0.000016,0.000000,0.000033,0.000000,0.000000,0.000000,0.000016,0.000000,0.000000,0.000016,0.000000,0.000016,0.000033,0.000016,0.000033,0.000016,0.000033,0.000016,0.000000,0.000049,0.000016,0.000000,0.000016,0.000000,0.000016,0.000033,0.000000,0.000033,0.000016,0.000016,0.000033,0.000033,0.000016,0.000033,0.000016,0.000016,0.000016,0.000033,0.000000,0.000033
0.003000,0.002030,0.000000,0.000016,0.000016,0.000049,0.000000,0.000000,0.000000,0.000016,0.000000,0.000000,0.000000,0.000016,0.000000,0.000000,0.000000,0.000033,0.000000,0.000000,0.000000,0.000000,0.000016,0.000000,0.000016,0.000000,0.000016,0.000000,0.000000,0.000016,0.000016,0.000000,0.000000,0.000033,0.000016,0.000000,0.000000,0.000016,0.000000,0.000000,0.000016,0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,0.000000,0.000000,0.000000,0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,0.000016,0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000033,0.000000,0.000000,0.000000,0.000016,0.000033,0.000016,0.000000,0.000000,0.000033,0.000016,0.000000,0.000000,0.000000,0.000000,0.000033,0.000016,0.000016,0.000016,0.000016,0.000000,0.000000,0.000033,0.000000,0.000016,0.000000,0.000016,0.000033,0.000000,0.000000,0.000033,0.000033,0.000033,0.000016,0.000000,0.000016,0.000016,0.000033,0.000033,0.000000,0.000016,0.000016,0.000000,0.000016,0.000016,0.000000,0.000016,0.000016,0.000000,0.000016,0.000065,0.000000,0.000000,0.000016,0.000000,0.000033,0.000000,0.000016,0.000049,0.000065,0.000016,0.000000,0.000049,0.000049,0.000000,0.000016,0.000016,0.000000,0.000016,0.000016,0.000033,0.000000,0.000065,0.000000,0.000033,0.000016,0.000016,0.000016,0.000000,0.000016,0.000049,0.000016,0.000065,0.000049,0.000049,0.000000,0.000000,0.000016,0.000000
0.004000,0.001964,0.000000,0.000000,0.000000,0.000033,0.000016,0.000033,0.000000,0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,0.000000,0.000000,0.000049,0.000000,0.000016,0.000000,0.000033,0.000000,0.000000,0.000016,0.000000,0.000016,0.000016,0.000016,0.000016,0.000000,0.000000,0.000016,0.000000,0.000000,0.000016,0.000000,0.000016,0.000016,0.000000,0.000000,0.000016,0.000000,0.000000,0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,0.000000,0.000000,0.000000,0.000016,0.000000,0.000000,0.000000,0.000016,0.000000,0.000000,0.000000,0.000033,0.000000,0.000000,0.000000,0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000049,0.000000,0.000016,0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000033,0.000000,0.000065,0.000065,0.000000,0.000016,0.000016,0.000016,0.000033,0.000000,0.000016,0.000016,0.000000,0.000049,0.000016,0.000033,0.000000,0.000016,0.000016,0.000000,0.000000,0.000016,0.000000,0.000000,0.000016,0.000033,0.000000,0.000033,0.000016,0.000016,0.000016,0.000033,0.000000,0.000000,0.000000,0.000033,0.000033,0.000016,0.000016,0.000000,0.000016,0.000016,0.000016,0.000033,0.000033,0.000000,0.000049,0.000016,0.000000,0.000016,0.000049,0.000000,0.000000,0.000033,0.000016,0.000016,0.000000,0.000033,0.000016,0.000016,0.000016,0.000049,0.000016,0.000016,0.000016,0.000000,0.000016,0.000000,0.000049,0.000000,0.000033,0.000033,0.000033,0.000033,0.000000,0.000016,0.000000,0.000000
0.005000,0.002472,0.000000,0.000000,0.000016,0.000000,0.000016,0.000000,0.000016,0.000000,0.000000,0.000000,0.000016,0.000016,0.000000,0.000016,0.000000,0.000016,0.000000,0.000033,0.000016,0.000000,0.000033,0.000016,0.000000,0.000016,0.000016,0.000000,0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,0.000000,0.000000,0.000016,0.000000,0.000000,0.000016,0.000033,0.000000,0.000000,0.000016,0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,0.000000,0.000000,0.000000,0.000016,0.000000,0.000000,0.000049,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,0.000033,0.000000,0.000016,0.000000,0.000033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000033,0.000000,0.000016,0.000033,0.000033,0.000000,0.000000,0.000000,0.000016,0.000033,0.000033,0.000016,0.000000,0.000000,0.000000,0.000049,0.000000,0.000016,0.000033,0.000016,0.000033,0.000049,0.000016,0.000000,0.000016,0.000033,0.000033,0.000065,0.000016,0.000033,0.000000,0.000033,0.000016,0.000000,0.000016,0.000000,0.000016,0.000033,0.000033,0.000000,0.000049,0.000082,0.000016,0.000033,0.000065,0.000000,0.000016,0.000033,0.000033,0.000049,0.000049,0.000000,0.000016,0.000000,0.000000,0.000000,0.000000,0.000016,0.000049,0.000016,0.000016,0.000016,0.000033,0.000016,0.000049,0.000016,0.000016,0.000016,0.000016,0.000016,0.000033,0.000000,0.000016,0.000033,0.000065,0.000016,0.000016,0.000033,0.000016,0.000016,0.000016,0.000016,0.000033,0.000000,0.000016,0.000000,0.000000,0.000000,0.000049
0.006000,0.001964,0.000000,0.000016,0.000000,0.000016,0.000000,0.000016,0.000000,0.000016,0.000000,0.000033,0.000016,0.000000,0.000000,0.000016,0.000000,0.000000,0.000033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,0.000033,0.000000,0.000016,0.000033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,0.000000,0.000000,0.000000,0.000049,0.000000,0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000033,0.000000,0.000016,0.000000,0.000016,0.000000,0.000000,0.000000,0.000000,0.000016,0.000016,0.000000,0.000000,0.000000,0.000000,0.000033,0.000016,0.000033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,0.000000,0.000016,0.000000,0.000016,0.000016,0.000016,0.000033,0.000016,0.000016,0.000016,0.000000,0.000000,0.000016,0.000016,0.000016,0.000049,0.000016,0.000016,0.000049,0.000016,0.000000,0.000016,0.000000,0.000016,0.000033,0.000000,0.000016,0.000000,0.000000,0.000033,0.000016,0.000016,0.000016,0.000000,0.000000,0.000033,0.000016,0.000049,0.000016,0.000033,0.000016,0.000000,0.000016,0.000000,0.000016,0.000033,0.000000,0.000016,0.000016,0.000000,0.000065,0.000016,0.000016,0.000033,0.000000,0.000000,0.000033,0.000033,0.000016,0.000049,0.000000,0.000049,0.000016,0.000033,0.000016,0.000000,0.000033,0.000000,0.000016,0.000016,0.000033,0.000000,0.000016,0.000016,0.000000,0.000033,0.000016,0.000016,0.000016,0.000000,0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016
0.007000,0.002275,0.000000,0.000000,0.000000,0.000049,0.000033,0.000033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,0.000016,0.000016,0.000000,0.000016,0.000016,0.000000,0.000033,0.000033,0.000000,0.000000,0.000016,0.000000,0.000016,0.000016,0.000000,0.000033,0.000016,0.000000,0.000000,0.000016,0.000000,0.000000,0.000000,0.000000,0.000016,0.000016,0.000000,0.000033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,0.000033,0.000000,0.000033,0.000000,0.000000,0.000000,0.000000,0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,0.000000,0.000000,0.000000,0.000000,0.000016,0.000033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,0.000000,0.000000,0.000000,0.000000,0.000016,0.000033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,0.000000,0.000016,0.000000,0.000000,0.000016,0.000033,0.000016,0.000000,0.000016,0.000000,0.000016,0.000033,0.000016,0.000049,0.000033,0.000016,0.000000,0.000049,0.000049,0.000016,0.000000,0.000033,0.000000,0.000033,0.000016,0.000000,0.000033,0.000016,0.000016,0.000016,0.000016,0.000000,0.000016,0.000000,0.000000,0.000016,0.000000,0.000016,0.000065,0.000033,0.000049,0.000016,0.000000,0.000033,0.000016,0.000000,0.000016,0.000000,0.000033,0.000033,0.000000,0.000000,0.000016,0.000000,0.000033,0.000049,0.000049,0.000016,0.000016,0.000016,0.000000,0.000033,0.000049,0.000000,0.000000,0.000000,0.000082,0.000033,0.000033,0.000033,0.000000,0.000000,0.000033,0.000049,0.000000,0.000000,0.000033,0.000000,0.000016,0.000000,0.000033,0.000016,0.000000,0.000016,0.000016,0.000000
0.008000,0.002373,0.000000,0.000000,0.000000,0.000049,0.000000,0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000033,0.000016,0.000000,0.000016,0.000000,0.000000,0.000033,0.000016,0.000016,0.000000,0.000000,0.000000,0.000016,0.000000,0.000000,0.000000,0.000016,0.000033,0.000016,0.000016,0.000000,0.000016,0.000000,0.000016,0.000016,0.000016,0.000000,0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000033,0.000016,0.000000,0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,0.000000,0.000000,0.000016,0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,0.000016,0.000000,0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000033,0.000000,0.000033,0.000016,0.000016,0.000000,0.000033,0.000016,0.000033,0.000000,0.000016,0.000033,0.000000,0.000000,0.000016,0.000016,0.000049,0.000000,0.000000,0.000000,0.000016,0.000016,0.000000,0.000016,0.000049,0.000000,0.000049,0.000016,0.000016,0.000016,0.000000,0.000033,0.000016,0.000016,0.000000,0.000082,0.000033,0.000000,0.000016,0.000016,0.000033,0.000016,0.000000,0.000033,0.000049,0.000000,0.000049,0.000016,0.000016,0.000033,0.000049,0.000049,0.000016,0.000065,0.000000,0.000016,0.000000,0.000000,0.000000,0.000033,0.000000,0.000016,0.000049,0.000065,0.000000,0.000000,0.000016,0.000000,0.000082,0.000000,0.000016,0.000049,0.000016,0.000016,0.000000,0.000000,0.000033,0.000000,0.000016,0.000049,0.000033,0.000000,0.000016,0.000000,0.000016,0.000033,0.000049,0.000033,0.000033
0.009000,0.002275,0.000000,0.000016,0.000000,0.000016,0.000049,0.000016,0.000000,0.000016,0.000016,0.000000,0.000000,0.000033,0.000000,0.000016,0.000000,0.000000,0.000000,0.000033,0.000000,0.000000,0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,0.000000,0.000000,0.000016,0.000016,0.000000,0.000016,0.000033,0.000049,0.000000,0.000016,0.000000,0.000000,0.000000,0.000000,0.000016,0.000016,0.000016,0.000000,0.000000,0.000000,0.000000,0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,0.000033,0.000000,0.000000,0.000000,0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,0.000033,0.000000,0.000033,0.000016,0.000000,0.000000,0.000000,0.000000,0.000033,0.000000,0.000016,0.000033,0.000000,0.000016,0.000016,0.000000,0.000033,0.000016,0.000065,0.000016,0.000033,0.000033,0.000016,0.000033,0.000033,0.000000,0.000000,0.000033,0.000033,0.000049,0.000033,0.000000,0.000016,0.000000,0.000016,0.000016,0.000016,0.000033,0.000016,0.000049,0.000016,0.000000,0.000000,0.000049,0.000016,0.000016,0.000016,0.000033,0.000000,0.000033,0.000049,0.000016,0.000000,0.000000,0.000000,0.000065,0.000033,0.000033,0.000016,0.000016,0.000016,0.000016,0.000033,0.000000,0.000000,0.000016,0.000016,0.000000,0.000033,0.000016,0.000033,0.000033,0.000000,0.000016,0.000065,0.000016,0.000000,0.000016,0.000000,0.000033,0.000033,0.000033,0.000000,0.000049,0.000016,0.000016
