Assistance_BlindSpot_SPAWN->Assistance_BlindSpot_START,Assistance_BlindSpot_SPAWN->Assistance_BlindSpot_START
0.050501,0.050501
0.000000,0.000000
0.019552,0.019552
0.036655,0.036655
0.000000,0.000000
0.038451,0.038451
0.029250,0.029250
0.024054,0.024054
0.043635,0.043635
0.045165,0.045165
0.042683,0.042683
0.112470,0.112470
0.017979,0.017979
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.022258,0.022258
0.029100,0.029100
0.019295,0.019295
0.055229,0.055229
0.017647,0.017647
0.051643,0.051643
0.046928,0.046928
0.032834,0.032834
0.000000,0.000000
0.009954,0.009954
0.000000,0.000000
0.051386,0.051386
0.001698,0.001698
0.050615,0.050615
0.025448,0.025448
0.017743,0.017743
0.034096,0.034096
0.000000,0.000000
0.030440,0.030440
0.026408,0.026408
0.039658,0.039658
0.040438,0.040438
0.050859,0.050859
0.040518,0.040518
0.016682,0.016682
0.012246,0.012246
0.000000,0.000000
0.033280,0.033280
0.016759,0.016759
0.050971,0.050971
0.000000,0.000000
0.040353,0.040353
0.000000,0.000000
0.044445,0.044445
0.053038,0.053038
0.012722,0.012722
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.025177,0.025177
0.023258,0.023258
0.061576,0.061576
0.015373,0.015373
0.029937,0.029937
0.000000,0.000000
0.020301,0.020301
0.020414,0.020414
0.031202,0.031202
0.029646,0.029646
0.000000,0.000000
0.043136,0.043136
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.029943,0.029943
0.020026,0.020026
0.030092,0.030092
0.002187,0.002187
0.014253,0.014253
0.000000,0.000000
0.100000,0.100000
0.034668,0.034668
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.030194,0.030194
0.040140,0.040140
0.000000,0.000000
0.008595,0.008595
0.000000,0.000000
0.013993,0.013993
0.021262,0.021262
0.029365,0.029365
0.043032,0.043032
0.019960,0.019960
0.042824,0.042824
0.021837,0.021837
0.000000,0.000000
0.006464,0.006464
0.017021,0.017021
0.008156,0.008156
0.014047,0.014047
0.044133,0.044133
0.000000,0.000000
0.110126,0.110126
0.017504,0.017504
0.016146,0.016146
0.002518,0.002518
0.008827,0.008827
0.017890,0.017890
0.013777,0.013777
0.027540,0.027540
0.036357,0.036357
0.009267,0.009267
0.015003,0.015003
0.026913,0.026913
0.000000,0.000000
0.002673,0.002673
0.000000,0.000000
0.047330,0.047330
0.027081,0.027081
0.000000,0.000000
0.027533,0.027533
0.021472,0.021472
0.041778,0.041778
0.003924,0.003924
0.033173,0.033173
0.000000,0.000000
0.000000,0.000000
0.012502,0.012502
0.008350,0.008350
0.022592,0.022592
0.018483,0.018483
0.045002,0.045002
0.000000,0.000000
0.039127,0.039127
0.043480,0.043480
0.026698,0.026698
0.016133,0.016133
0.057041,0.057041
0.029108,0.029108
0.018267,0.018267
0.030572,0.030572
