bin,total,Camera1_FINISH->Perception_CameraPerception_START,Camera1_START->Camera1_FINISH,CollisionAlert_START->CollisionAlert_FINISH,CollisionDetection_BrakingDecision_FINISH->CollisionAlert_START,CollisionDetection_BrakingDecision_START->CollisionDetection_BrakingDecision_FINISH,CollisionDetection_TimeToCollision_FINISH->CollisionDetection_BrakingDecision_START,CollisionDetection_TimeToCollision_START->CollisionDetection_TimeToCollision_FINISH,Perception_CameraPerception_FINISH->Perception_Fusion_START,Perception_CameraPerception_START->Perception_CameraPerception_FINISH,Perception_Fusion_FINISH->SemanticExtraction_ObjectDetection_START,Perception_Fusion_START->Perception_Fusion_FINISH,SemanticExtraction_ObjectDetection_FINISH->SemanticExtraction_Prediction_START,SemanticExtraction_ObjectDetection_START->SemanticExtraction_ObjectDetection_FINISH,SemanticExtraction_Prediction_FINISH->CollisionDetection_TimeToCollision_START,SemanticExtraction_Prediction_START->SemanticExtraction_Prediction_FINISH
0.346000,0.001963,0.000507,0.000033,0.000013,0.000000,0.000036,0.000000,0.000170,0.000415,0.000053,0.000000,0.000143,0.000000,0.000315,0.000219,0.000060
0.347000,0.003272,0.000911,0.000046,0.000016,0.000000,0.000037,0.000020,0.000258,0.000519,0.000085,0.000000,0.000203,0.000000,0.000382,0.000698,0.000098
0.348000,0.001963,0.000493,0.000025,0.000009,0.000000,0.000019,0.000000,0.000159,0.000316,0.000046,0.000000,0.000140,0.000000,0.000319,0.000385,0.000052
0.349000,0.001963,0.000457,0.000026,0.000011,0.000000,0.000023,0.000000,0.000183,0.000528,0.000068,0.000000,0.000146,0.000000,0.000325,0.000142,0.000054
0.350000,0.001963,0.000493,0.000021,0.000012,0.000000,0.000021,0.000000,0.000181,0.000429,0.000058,0.000000,0.000154,0.000000,0.000279,0.000258,0.000057
0.351000,0.001963,0.000416,0.000029,0.000016,0.000000,0.000027,0.000020,0.000169,0.000435,0.000050,0.000000,0.000151,0.000000,0.000309,0.000282,0.000060
0.352000,0.002618,0.000589,0.000043,0.000011,0.000000,0.000032,0.000016,0.000231,0.000523,0.000075,0.000000,0.000168,0.000000,0.000316,0.000540,0.000074
0.353000,0.001963,0.000372,0.000031,0.000010,0.000000,0.000030,0.000042,0.000190,0.000252,0.000043,0.000000,0.000116,0.000000,0.000341,0.000483,0.000053
0.354000,0.002618,0.000627,0.000032,0.000013,0.000000,0.000046,0.000040,0.000199,0.000388,0.000060,0.000000,0.000180,0.000000,0.000376,0.000585,0.000072
0.355000,0.001309,0.000365,0.000024,0.000007,0.000000,0.000021,0.000000,0.000128,0.000331,0.000046,0.000000,0.000084,0.000000,0.000213,0.000053,0.000038
0.356000,0.003927,0.000968,0.000036,0.000022,0.000000,0.000047,0.000017,0.000344,0.000773,0.000118,0.000000,0.000262,0.000000,0.000622,0.000605,0.000112
0.357000,0.002618,0.000660,0.000042,0.000014,0.000000,0.000026,0.000019,0.000220,0.000316,0.000080,0.000000,0.000185,0.000000,0.000318,0.000668,0.000070
0.358000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.359000,0.001963,0.000469,0.000025,0.000014,0.000000,0.000030,0.000000,0.000146,0.000369,0.000065,0.000021,0.000161,0.000007,0.000230,0.000370,0.000057
0.360000,0.003272,0.000851,0.000047,0.000016,0.000000,0.000042,0.000000,0.000259,0.000391,0.000096,0.000000,0.000223,0.000000,0.000429,0.000825,0.000094
