bin,total,finish1->start2,finish2->start3,start1->finish1,start2->finish2,start3->finish3
0.174000,0.000218,0.000073,0.000051,0.000017,0.000032,0.000045
0.175000,0.000125,0.000045,0.000025,0.000010,0.000019,0.000026
0.176000,0.000343,0.000136,0.000063,0.000028,0.000048,0.000068
0.177000,0.000156,0.000059,0.000029,0.000013,0.000024,0.000032
0.178000,0.000218,0.000093,0.000033,0.000018,0.000030,0.000043
0.179000,0.000125,0.000051,0.000024,0.000008,0.000019,0.000023
0.180000,0.000156,0.000055,0.000035,0.000014,0.000021,0.000030
0.181000,0.000280,0.000105,0.000061,0.000023,0.000039,0.000052
0.182000,0.000405,0.000162,0.000083,0.000029,0.000055,0.000076
0.183000,0.000280,0.000109,0.000061,0.000020,0.000039,0.000052
0.184000,0.000529,0.000197,0.000120,0.000042,0.000071,0.000100
0.185000,0.000280,0.000105,0.000058,0.000021,0.000040,0.000055
0.186000,0.000623,0.000230,0.000135,0.000054,0.000081,0.000122
0.187000,0.000405,0.000145,0.000095,0.000029,0.000056,0.000079
0.188000,0.000498,0.000184,0.000111,0.000038,0.000067,0.000098
0.189000,0.000436,0.000174,0.000082,0.000033,0.000060,0.000086
0.190000,0.000156,0.000060,0.000032,0.000012,0.000020,0.000032
0.191000,0.000125,0.000044,0.000029,0.000009,0.000018,0.000026
0.192000,0.000125,0.000045,0.000028,0.000010,0.000017,0.000025
0.219000,0.000031,0.000012,0.000007,0.000002,0.000004,0.000006
0.235000,0.000031,0.000015,0.000006,0.000003,0.000003,0.000005
