bin,total,
0.000000,0.921036,0.921036
0.001000,0.008414,0.008414
0.002000,0.008414,0.008414
0.003000,0.011650,0.011650
0.004000,0.009061,0.009061
0.005000,0.005825,0.005825
0.006000,0.008414,0.008414
0.007000,0.012298,0.012298
0.008000,0.006472,0.006472
0.009000,0.003883,0.003883
0.010000,0.004531,0.004531
