bin,total,start3=0,start3=1,start3=2,start3=3,start3=4,start3=5,start3=6
0.143000,0.000126,0.000000,0.000032,0.000032,0.000000,0.000063,0.000000,0.000000
0.144000,0.000095,0.000000,0.000000,0.000000,0.000032,0.000063,0.000000,0.000000
0.145000,0.000095,0.000000,0.000000,0.000032,0.000032,0.000032,0.000000,0.000000
0.146000,0.000158,0.000000,0.000032,0.000000,0.000063,0.000063,0.000000,0.000000
0.147000,0.000095,0.000000,0.000000,0.000000,0.000032,0.000063,0.000000,0.000000
0.148000,0.000158,0.000000,0.000000,0.000000,0.000032,0.000063,0.000063,0.000000
0.149000,0.000158,0.000000,0.000000,0.000000,0.000000,0.000126,0.000032,0.000000
0.150000,0.000126,0.000000,0.000000,0.000000,0.000063,0.000063,0.000000,0.000000
0.151000,0.000126,0.000000,0.000000,0.000032,0.000063,0.000032,0.000000,0.000000
0.152000,0.000158,0.000000,0.000000,0.000000,0.000063,0.000032,0.000063,0.000000
0.153000,0.000126,0.000000,0.000000,0.000000,0.000032,0.000063,0.000032,0.000000
0.154000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000032,0.000000,0.000000
0.155000,0.000158,0.000000,0.000000,0.000000,0.000032,0.000126,0.000000,0.000000
0.156000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000032,0.000000,0.000000
0.157000,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000,0.000000,0.000000
0.158000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000032,0.000000,0.000000
0.159000,0.000063,0.000000,0.000000,0.000000,0.000032,0.000032,0.000000,0.000000
0.160000,0.000095,0.000000,0.000000,0.000000,0.000000,0.000063,0.000032,0.000000
0.161000,0.000063,0.000000,0.000000,0.000000,0.000032,0.000032,0.000000,0.000000
0.162000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000032,0.000000
0.163000,0.000063,0.000000,0.000000,0.000000,0.000032,0.000000,0.000000,0.000032
0.164000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000032,0.000000,0.000000
0.165000,0.000095,0.000000,0.000032,0.000032,0.000000,0.000000,0.000032,0.000000
0.167000,0.000063,0.000000,0.000000,0.000000,0.000032,0.000032,0.000000,0.000000
0.168000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000032,0.000000
0.169000,0.000063,0.000000,0.000000,0.000032,0.000000,0.000032,0.000000,0.000000
0.171000,0.000063,0.000000,0.000000,0.000000,0.000000,0.000000,0.000063,0.000000
0.172000,0.000063,0.000000,0.000000,0.000032,0.000000,0.000000,0.000000,0.000032
0.173000,0.000032,0.000000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000
0.176000,0.000063,0.000000,0.000000,0.000000,0.000000,0.000000,0.000032,0.000032
0.178000,0.000158,0.000000,0.000000,0.000000,0.000032,0.000063,0.000032,0.000032
0.179000,0.000063,0.000000,0.000000,0.000000,0.000000,0.000032,0.000032,0.000000
0.181000,0.000063,0.000000,0.000000,0.000000,0.000000,0.000000,0.000063,0.000000
0.182000,0.000032,0.000000,0.000000,0.000000,0.000032,0.000000,0.000000,0.000000
0.185000,0.000063,0.000000,0.000000,0.000000,0.000000,0.000032,0.000032,0.000000
0.186000,0.000158,0.000000,0.000000,0.000000,0.000063,0.000000,0.000095,0.000000
0.187000,0.000063,0.000000,0.000000,0.000000,0.000032,0.000032,0.000000,0.000000
0.188000,0.000095,0.000000,0.000000,0.000000,0.000000,0.000000,0.000095,0.000000
0.189000,0.000063,0.000000,0.000000,0.000000,0.000000,0.000032,0.000032,0.000000
0.193000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000032,0.000000
0.195000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000032,0.000000,0.000000
0.198000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000032,0.000000
0.207000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000032,0.000000,0.000000
0.210000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000032,0.000000
0.214000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000032,0.000000,0.000000
0.215000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000032,0.000000
0.230000,0.000063,0.000000,0.000000,0.000000,0.000000,0.000032,0.000032,0.000000
0.231000,0.000032,0.000000,0.000000,0.000032,0.000000,0.000000,0.000000,0.000000
0.237000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000032,0.000000,0.000000
